 	deve	essere	bianco	</S>
è	0.666204585	0.322795752	0.0064066322	0.0045930246
n	0.439257558333	0.553045667333	0.0038440487	0.0038527099
a	0.467103026111	0.525546242444	0.00479847456667	0.0025522465
è	0.394888820704	0.593012887481	0.00814244452222	0.00395585993333
n	0.233343922235	0.639089015827	0.122110967507	0.00545613447778
e	0.290637100745	0.492726128609	0.181582020502	0.0350547831593
à	0.243011724915	0.379252216203	0.329348831501	0.0483872650531
s	0.100969486538	0.226501186734	0.644654087167	0.0278752460177
p	0.0375518150793	0.184242470245	0.718184115722	0.0600215903392
r	0.0148718098598	0.162209026748	0.744153791907	0.0787653834464
o	0.0212671201199	0.104450285583	0.564274375969	0.310008217815
</S>	0.03434741706	0.0903755177915	0.316175455984	0.559101608908
