 	sono	vestita	</S>
ì	0.8958321	0.0449713	0.0591966362
m	0.88117108	0.0571606326667	0.0616682727333
e	0.614159417	0.328348875556	0.0574916902444
n	0.262803212667	0.648795201852	0.0884015834148
d	0.146861367556	0.658709430617	0.194429171138
i	0.058918956852	0.474699016872	0.466381980379
m	0.026281555284	0.256537205624	0.717181226793
è	0.0345470937613	0.322486081875	0.642966842264
n	0.11176444792	0.428491900625	0.459743664088
i	0.13644000264	0.285488036875	0.578071958029
</S>	0.09946506632	0.171170613438	0.729364309015
