 	l	ha	scritta	</S>
t	0.978122575	0.00946421425	0.0087143248	0.003698914
o	0.817290375	0.170929592417	0.0091165808	0.0026634397
è	0.478843598333	0.412206017472	0.0993503332667	0.00960001626667
g	0.244024106111	0.573414722491	0.168827744422	0.0137333656222
r	0.145513278704	0.594526684164	0.217454424807	0.0425055807407
a	0.0844738472347	0.385708626055	0.434319998269	0.0954975269136
t	0.0451744534116	0.175708829018	0.693729149423	0.0853875476379
s	0.0234878458039	0.097098031006	0.794175333141	0.0852387678793
e	0.0205829249346	0.0684117803353	0.641122991047	0.269882309293
</S>	0.0209282249673	0.0570978866677	0.498031465523	0.423942454647
