 	vuole	pianto	</S>
i	0.980233575	0.00566997512	0.014096425
t	0.933116758333	0.00297063068667	0.063912581
è	0.767590652778	0.0334289877956	0.198980360333
l	0.711052127593	0.0450483925319	0.243899456778
i	0.529760781531	0.142019047444	0.328220132259
k	0.27336103951	0.183965945815	0.54267297742
l	0.200727689837	0.170042088605	0.629230205807
a	0.112034183279	0.302593846202	0.585371971936
m	0.0804436744263	0.277778095401	0.641778247312
m	0.0766945148088	0.1669712618	0.756334265771
è	0.0791268699363	0.305013973933	0.615859185257
n	0.213822224979	0.356695077978	0.429482698419
o	0.260546868326	0.284798935993	0.45465417614
</S>	0.175102314163	0.312550032996	0.51234761807
