 	dove	aveva	per	stare	non	aveva	</S>
p	0.95192022	0.0268159255	0.003839202	0.0022977191	0.00313502205	0.00864185695	0.00335000285
u	0.70640615	0.279713223167	0.00247653443333	0.001440079748	0.00156775044333	0.00636804761133	0.00202816148567
ì	0.318818771333	0.663893484389	0.0121332581111	0.000820913730667	0.000719211714443	0.00251830546511	0.00109601299756
c	0.143481970111	0.80243021813	0.0504292943704	0.00109234174356	0.000426353914814	0.0013405885817	0.00079923539252
h	0.090212255037	0.63881586271	0.25552478479	0.0125608634479	0.000657107008271	0.0013132950539	0.000915859924173
e	0.0717996363457	0.373649650903	0.529747638263	0.0203166841493	0.00188994810276	0.0014318411413	0.00116463134139
n	0.0463129436152	0.206984940301	0.726093489421	0.0159416903831	0.00187991555425	0.00148978490377	0.00129723544713
a	0.0354238980384	0.108541645434	0.65414398314	0.196068644128	0.00187565587142	0.00216171126792	0.00178443138238
s	0.0312847981128	0.069910893478	0.534391847713	0.342741568043	0.00238106469047	0.0114288430893	0.00786096679413
t	0.0212301961376	0.0627693274927	0.452520602571	0.421543882681	0.00438050773016	0.0241149310298	0.0134405282647
a	0.0220587363792	0.0652175624976	0.249014907524	0.60769117756	0.0154836787434	0.0270072023433	0.0135267157549
s	0.0150237788931	0.0408646104992	0.150819499175	0.706044225853	0.0263976882478	0.0394083027811	0.0214418972516
ì	0.0107403043977	0.0276465804997	0.125086846392	0.692877791951	0.0596127747493	0.061518550927	0.0225171470839
e	0.0085097830659	0.0206753736666	0.0988061561307	0.61001278065	0.109303604916	0.139385326976	0.013306935128
n	0.00468122612197	0.0122859090555	0.0695096093769	0.460327870217	0.169655394972	0.262157565659	0.0213823931427
ì	0.0108125515407	0.0203255996852	0.0894851097923	0.302289253406	0.227061591657	0.32522849522	0.0247973940476
c	0.0120958944469	0.0210770908951	0.0842024359308	0.189722007802	0.232203873886	0.429079218407	0.0316194693492
h	0.0051802556823	0.0098408896317	0.0460232763103	0.112117169267	0.172719697962	0.581824812802	0.0722939014497
e	0.0034466873941	0.0061139634439	0.0258856724368	0.069926409089	0.0926247313207	0.553117424267	0.248885133817
</S>	0.00366990404705	0.00630743207195	0.0176824292184	0.0455144385445	0.0614484436604	0.466253862133	0.399123516909
