 	il	dito	si	gonfiò	</S>
o	0.957133125	0.0228690815	0.003478197885	0.0120661819	0.00445338435
d	0.877496108333	0.100805240833	0.002515725285	0.0164311819	0.00275171401667
à	0.631552372778	0.336625803611	0.00446568016167	0.0230662506333	0.00428988310556
t	0.400816047593	0.571964034537	0.00472151388722	0.0182116255444	0.00428678421519
t	0.225885209198	0.673357301512	0.0130445695624	0.0829079871815	0.00480493758506
i	0.118638489733	0.652903857171	0.0509094288541	0.161622045727	0.0159261928617
l	0.0848192305777	0.565019025724	0.0678191582847	0.252220571909	0.0301220166206
o	0.0699068741926	0.369136958575	0.279884924762	0.23972706897	0.0413441785402
è	0.0540211287309	0.172156422858	0.353558821587	0.386418184657	0.0338454709467
p	0.0302417029103	0.106762529286	0.224083180529	0.607709128219	0.0312034830822
r	0.0271766159701	0.0877072214287	0.22108676351	0.586829809406	0.0771995910274
i	0.02257827899	0.0590459404762	0.165276914503	0.481080013135	0.272018860342
m	0.01485296173	0.0280425711587	0.115476832834	0.521841247712	0.319786404781
m	0.00778973964333	0.0160830093862	0.092463212278	0.637873249237	0.245790792927
è	0.0182079598811	0.0385104497954	0.103874537426	0.481355829746	0.358051217642
n	0.0243127089604	0.0516299065985	0.116096667142	0.381789203249	0.426171505881
o	0.0184734403201	0.0326336745328	0.0830832263807	0.28708772875	0.578721938627
</S>	0.0182991251601	0.0254752137664	0.0549645521903	0.163721185875	0.737539944314
