 	venne	scritto	</S>
ì	0.95210465	0.0243461355	0.02354919885
r	0.979300933333	0.00956758923333	0.0111314717167
t	0.944549661111	0.0175616318111	0.0378886844389
e	0.742878547037	0.170573259937	0.086548174813
g	0.516218552346	0.272279713312	0.211501748271
r	0.447224204115	0.194260694437	0.358515089424
a	0.299871354038	0.359663661479	0.340464973141
m	0.130780227346	0.44925193716	0.41996783438
m	0.0883947284487	0.34067603572	0.57092922146
è	0.0628261121496	0.515036851907	0.422137040487
n	0.188444860717	0.531732770636	0.279822396829
o	0.219771928239	0.392393690212	0.38783442561
</S>	0.116878816119	0.405469365106	0.477651862805
