 	l	ho	sentito	quando	veniva	</S>
t	0.95251067	0.0116804224	0.004790915645	0.0033817796	0.023355611	0.0042806295
o	0.88975937	0.0775318608	0.00632877138167	0.00248979696333	0.02030958156	0.00358062793333
n	0.753410123333	0.183374146933	0.0418171152939	0.00152086965111	0.01323749108	0.00664024174444
ì	0.496910531111	0.401074865644	0.0820037467646	0.0015383723837	0.01081860651	0.00765384774481
k	0.240913622037	0.590102955215	0.157248810588	0.00510069739457	0.00389897775333	0.00273492165827
u	0.148222012346	0.528658511738	0.303337386863	0.0169543467982	0.00171769792778	0.00111005923276
s	0.103107764115	0.326447573913	0.490688232288	0.0778102515994	0.00131431771926	0.000631869844253
a	0.104594308038	0.214988747971	0.490588477429	0.1860471372	0.00314246053975	0.000638844268084
m	0.100486938213	0.156251576324	0.27952134581	0.453172465733	0.00978365597992	0.000783996409361
ò	0.0737298116043	0.123727285775	0.187666398603	0.589172328578	0.0241040143266	0.00160016570312
t	0.0720223082014	0.120144381925	0.226871226201	0.542053169526	0.0368320821089	0.00207683133437
t	0.0441247760671	0.0623473166417	0.2030957154	0.540757966509	0.138145386703	0.0115288463115
e	0.0393033690224	0.0504627705472	0.116501727133	0.36367906217	0.404010515568	0.0260425751038
è	0.0292736745075	0.0395111908491	0.062251650711	0.16609886739	0.680380125189	0.0224844873679
r	0.0174004050025	0.0249821439497	0.0904371099037	0.22939531913	0.621841255063	0.0159437497893
k	0.0126114920008	0.0187764018166	0.105015573635	0.339167073043	0.491937765021	0.0324916832631
a	0.0122624353336	0.0159363011055	0.0523121068783	0.226634559014	0.58672000834	0.106134597754
t	0.0112614180112	0.0135083695018	0.0308297156261	0.110620924338	0.71129122278	0.122488345251
o	0.00990699690373	0.0115688139673	0.0228705888754	0.076913780446	0.694291140927	0.18444863775
</S>	0.0134340419519	0.0151138524836	0.0213855429377	0.050525743723	0.610483320463	0.289057438875
