 	non	ho	dove	d	andare	</S>
e	0.94640205	0.023527298425	0.0124370884	0.0117211108	0.00175728105	0.0041551839
n	0.634738529333	0.294783358475	0.0377156378	0.0205336142667	0.00295066395	0.00927822753333
è	0.373617275778	0.506646406158	0.0792222909333	0.0243663187556	0.00363853628333	0.0125091701778
c	0.283448751926	0.508582978719	0.171028970311	0.0261560012519	0.00254544442778	0.00823782916927
h	0.120726557309	0.384878443906	0.395327473437	0.0937859487506	0.00162276960926	0.00365876683309
o	0.0570997504363	0.174603072302	0.557628824479	0.206931442917	0.00152257523642	0.00221427290103
p	0.0296067954788	0.0973296381007	0.574754974826	0.285116937639	0.00673300384547	0.00645859225701
u	0.0285558324929	0.0437576750336	0.432987591609	0.46764493588	0.0174916322818	0.00956230488567
è	0.047733590831	0.0337544223445	0.264644297203	0.53912825196	0.106212831094	0.00852658009522
n	0.051153219277	0.0368714514482	0.251915832401	0.504720790653	0.147502402365	0.00783628769841
a	0.0326466704257	0.0344730904827	0.182048404134	0.380359456884	0.351236742788	0.0192356262328
p	0.0145000798086	0.0218277897942	0.0751669462113	0.148922661295	0.698184544263	0.0413979487443
à	0.0135918482695	0.0214992278981	0.0512609569038	0.0896215044317	0.774089161421	0.0499372629148
o	0.0227795410898	0.023098996966	0.0481669123013	0.0889298731439	0.581950220474	0.235074427638
</S>	0.0266680075449	0.014969364983	0.0365026111506	0.0856295915719	0.415383810237	0.420846593819
