 	vengono	vestiti	</S>
è	0.98548295	0.00890870465	0.0056082955
r	0.989386163333	0.00625045821667	0.00436335516667
k	0.869358944444	0.0339500393056	0.0966910200556
u	0.509981872481	0.351777503102	0.138240624685
t	0.42219311516	0.490544957701	0.0872619095617
t	0.429210558387	0.388908072567	0.181881366521
e	0.193265400229	0.550960784189	0.255773855507
n	0.0782208575097	0.722960198063	0.198818991836
d	0.0473597365032	0.739554572688	0.213085727279
i	0.0307039015011	0.549075867563	0.420220242426
m	0.0244975418337	0.318362995854	0.657139464142
è	0.0283395926112	0.435222368618	0.536438021381
n	0.17167623687	0.493594352873	0.334729373794
a	0.219276117957	0.266357674291	0.514366174598
</S>	0.126156802479	0.180646012145	0.693197137299
