 	ho	cosa	a	fare	</S>
è	0.874618175	0.04865587965	0.0216549788	0.02095238985	0.03411861075
c	0.618271658333	0.29148880655	0.0344305072667	0.0217081685833	0.0341008363933
h	0.342938919444	0.559393225517	0.0539875524222	0.0288168494944	0.0148633999411
o	0.203894694481	0.570749015172	0.151779567474	0.0586974798315	0.0148792023137
t	0.096507683227	0.374246725057	0.408063089158	0.0948982499438	0.0262842327712
i	0.0358274761423	0.148682805352	0.450338133053	0.321989073315	0.0431624999237
k	0.0207810320474	0.0683993164507	0.363174781018	0.434097341105	0.113547505641
à	0.0406625360158	0.0619824611502	0.336097730339	0.420964123702	0.14029314188
i	0.0423894060053	0.0490496086167	0.20726829678	0.564009507901	0.13728321396
</S>	0.0229096390027	0.0273720846583	0.15156612339	0.628018628951	0.17013357198
