 	lo	sentii	che	viene	</S>
t	0.949717	0.0152143032	0.0061400725	0.025173735	0.00375490785
o	0.913213513333	0.0549820644	0.00646050216667	0.0226010243333	0.00274290255667
n	0.773976951111	0.183723771467	0.0126520757222	0.0244568634444	0.00519032222556
ì	0.469582308704	0.467823290489	0.0307542039074	0.0257700477148	0.00607015911852
k	0.216189017901	0.693979730163	0.0732979356358	0.0141908208049	0.00234251424951
u	0.133326962634	0.615072743388	0.233327788545	0.016137355935	0.0021351540165
s	0.0816347012113	0.351728299129	0.525976439515	0.038363374645	0.00229723353883
a	0.0596445374038	0.177625174376	0.639905113172	0.110290898215	0.0125343322796
n	0.0510564727679	0.110685162125	0.506313244391	0.313572789405	0.0183723550932
a	0.0364468968893	0.0680700447083	0.33811355813	0.497309379802	0.0600601560311
r	0.0307257141631	0.0464599752361	0.183263156043	0.660348913267	0.079202245677
t	0.012077339921	0.020377171612	0.105442128681	0.813798077756	0.0483052642257
i	0.0223053889737	0.0264293990707	0.0861665395603	0.615022012585	0.250076646742
</S>	0.0364861244868	0.0398195680354	0.0748807997801	0.393472356292	0.455341123371
