 	dopo	Giovanni	ritornò	la	sera	a	casa	andava	molto	stanco	perché	aveva	lavorato	tutta	la	settimana	</S>
d	0.8693671	0.1135360626	0.0069357715	0.00066596605	0.002755649225	0.001726839175	0.000453070115	0.000435140655	0.000376125232	0.0004599714	0.000345421669	0.00035654074	0.000375754885	0.000519952302	0.00044750498	0.00091410777	0.00032899719
ò	0.934622976667	0.0569025336	0.00412527213333	0.000417977283333	0.000989117807	0.000655975418333	0.000213727963667	0.000226087785333	0.000152569378	0.000239084177333	0.0001341150964	0.000144045566	0.000150989105233	0.000208876773667	0.000199748533333	0.000471506941	0.000145340726667
p	0.931742422222	0.0488838522	0.0137522866778	0.000586001561111	0.000515625651	0.000397008809444	0.000542440019889	0.000659918725444	0.000309275925333	0.000520967383111	0.0003057253262	0.000306349434667	0.000266469635311	0.000107779064556	0.000328294411111	0.000635401084667	0.000140159185556
o	0.738549617407	0.232520104067	0.0227991512259	0.000731371543704	0.000347140247	0.000295331749815	0.00066130312663	0.000805237372148	0.000363794269111	0.00061751796537	0.000364800390733	0.000361796055556	0.000305754166204	7.4442796852e-05	0.000373446990037	0.000693168800222	0.000136000316519
G	0.406534355802	0.298222170022	0.112790969409	0.0270521994712	0.0274643043123	0.0211285129033	0.0284504416955	0.0234281894877	0.00416542323037	0.0119794023928	0.00298415187891	0.00336114304252	0.0054453136765	0.00271295237262	0.00640938844968	0.00891620453874	0.00895484768684
i	0.273325401934	0.323928338674	0.160902098136	0.0363583167237	0.0365135201474	0.0281008667111	0.0377491577318	0.0309696210169	0.00543486940879	0.0157678474276	0.00385777590797	0.00436171321517	0.00715919782883	0.00359405728087	0.00842407079256	0.0116578539896	0.0118952658566
o	0.268960293978	0.378702486225	0.239028454379	0.0229271701412	0.0155611807591	0.015968217647	0.0189145757439	0.0118349371933	0.0026203558016	0.0062028024392	0.00163665128432	0.00201326867272	0.00247244632961	0.00124873358362	0.00291140196352	0.00400804171653	0.0049889683132
v	0.243660871326	0.190217949208	0.25343998946	0.0296890827137	0.0169773895864	0.0163768788823	0.0309996745813	0.0467307097311	0.0218679272672	0.0491414641464	0.00865175946144	0.0104057616242	0.0131617542265	0.0118563501945	0.00432098171117	0.0362648814822	0.0162365598377
à	0.224588817109	0.179394143536	0.241645321153	0.0273097715712	0.0146532645955	0.0104887243274	0.0291511325938	0.0568599545274	0.0274905510014	0.0625190148288	0.010647313436	0.0126514757017	0.0166451395578	0.0153519361365	0.00470441005772	0.0469292993831	0.0189697328129
n	0.188747799036	0.187741351179	0.253945179051	0.0324985578571	0.0083793835985	0.0052687563758	0.0229914899313	0.0456266561261	0.0420450229128	0.0547096983896	0.0278114767608	0.0313232890609	0.0370524746683	0.0227641391172	0.00834932950657	0.0236320906834	0.0071133521713
n	0.137746513012	0.131271610393	0.175616195017	0.086224157619	0.0354550911995	0.0275402796919	0.0559903196438	0.0525934033754	0.0548010343043	0.0602562201299	0.0366210699203	0.040040881687	0.0457788237894	0.0258862469391	0.0122548568355	0.0164725180278	0.0054508166571
i	0.0991984343373	0.122879846798	0.355817541672	0.123082627873	0.0476829450665	0.0354837572306	0.0584285528813	0.0282565787068	0.0262424991281	0.0282521542266	0.0153075758411	0.0158563129457	0.0171922623815	0.0092894256107	0.00678910372917	0.00612153313927	0.0041188694227
j	0.0600369356791	0.0790793355993	0.607537763891	0.0964814406243	0.0406188780222	0.0228206087435	0.0365373289604	0.0108324221506	0.00936913843603	0.0101776549255	0.0053685903947	0.00568282119857	0.0061856793455	0.00318490575457	0.00239383422706	0.00216313221642	0.00152956145457
ù	0.032162532793	0.0443257758664	0.50263535463	0.287758676208	0.0489992290074	0.0195974669145	0.0411486516535	0.00505140792353	0.00372717366534	0.0041504892195	0.00205514890757	0.00229168934952	0.00251318475627	0.00114568725046	0.000924226865353	0.000839169039807	0.000674187951523
