 	i	bambini	non	si	vestono	da	soli	</S>
t	0.95722173	0.0172656955	0.00896203675	0.00135752243	0.00180007946	0.00557058537	0.00358941595	0.00423294
a	0.830250396667	0.150543727833	0.00430046308333	0.00089694661	0.00171031266767	0.00537514667533	0.00323322182533	0.003689771652
p	0.625136072222	0.363109792611	0.00306906246111	0.00354444951667	0.00061465165689	0.00189102896378	0.00131779036378	0.001317137066
e	0.460199484074	0.52212983087	0.0104193039204	0.00506016380556	0.000252160542297	0.000733043746927	0.000684064938927	0.000521910284667
t	0.458698198025	0.493569903623	0.0181525786401	0.00923814756852	0.0020492937841	0.00182922795464	0.00285602321731	0.0136066226942
ì	0.388572372675	0.530934694541	0.04050711688	0.0134961568562	0.0027266333147	0.00219932701488	0.0035785817951	0.0179851179197
a	0.198491962225	0.70243731818	0.0785655302933	0.0107054324521	0.00128892439157	0.00109444200163	0.00130095021437	0.0061154550949
e	0.196549948742	0.62502064606	0.0809906934311	0.0842384016507	0.00568294016386	0.00255407810054	0.00204928949812	0.0029140370983
n	0.203490079581	0.383540805353	0.051349448477	0.127060373884	0.132871783388	0.0185879377002	0.018795864366	0.0643037289994
i	0.156791453194	0.328850571784	0.100098410159	0.0940546679613	0.188817734463	0.0236459170001	0.0232647867553	0.0844764420998
n	0.157996911065	0.322734837261	0.12990421672	0.0960616259871	0.180432848154	0.0181033021	0.0160236375518	0.0787425931333
d	0.186913143688	0.205651245754	0.0760302395733	0.093231375329	0.224360452718	0.0860629693667	0.0399497258506	0.0878008500444
ì	0.152557822563	0.303338435251	0.0538187411911	0.0924992617763	0.213874067573	0.101547448256	0.0407017553169	0.0416624929481
n	0.0876325971877	0.29655373175	0.0397740737304	0.121920320592	0.386873869191	0.0375339687853	0.0145363625056	0.0151750880494
n	0.0461285389626	0.115279714583	0.0339389805768	0.114877353531	0.559458836397	0.103283260495	0.0157217092019	0.0113115861498
o	0.0187733083542	0.0476590781943	0.0326714281923	0.0583906245103	0.456478305466	0.339875520165	0.0342312874006	0.0119204079166
t	0.0109207639181	0.0239143145648	0.0189092833308	0.0239411491701	0.417411595155	0.448531473388	0.0445143924669	0.0118569908389
t	0.0139185469727	0.0228116840216	0.0159172330436	0.0158699050567	0.377764415052	0.488752091129	0.0478049308223	0.0171611609463
e	0.0142497207909	0.0216030393405	0.0224185463479	0.0127273002189	0.207652978351	0.56325437371	0.134228060274	0.0238659563154
m	0.00866163219697	0.0131477914468	0.0171125140493	0.0063310126063	0.12105775945	0.529511027903	0.274511686758	0.0296665477718
a	0.00607812686566	0.0119558274823	0.0185630006164	0.00561084243543	0.0769425948167	0.470128115968	0.373533512253	0.0371879502573
n	0.00777864462189	0.0159772001608	0.0198005460388	0.00535756194514	0.0568826699389	0.423566708656	0.429165550751	0.0414711080858
e	0.0077997404073	0.0145069243869	0.0188227098463	0.00495934411505	0.0458556286463	0.324189422885	0.538375906917	0.0454903373619
c	0.0051144077691	0.00896097569563	0.0177305767154	0.00467426827168	0.0278156272154	0.178515840962	0.651974445639	0.105213885787
h	0.00458090102303	0.00749638146521	0.00780666613847	0.00289173702389	0.0164541344051	0.125240986987	0.710899165213	0.124630021262
à	0.00616969734101	0.0146497491551	0.0197022611795	0.0107115269413	0.0214070458017	0.109025063996	0.737328405071	0.0810062164207
t	0.0128870727803	0.0219289930517	0.0305050753932	0.0203688126471	0.0327483692672	0.100781599665	0.646487568357	0.134292448807
u	0.0135024487601	0.0174767533506	0.0288507801311	0.0168768727824	0.0307375230891	0.084566686555	0.520314089452	0.287674802936
</S>	0.00880979863005	0.0121539701753	0.0308169200656	0.0121304712412	0.0272627725445	0.0588572032775	0.470903694726	0.379065166468
