 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
c	0.694559585	0.296961305	0.0023281404	0.001808291994	0.0032241541	0.0001124081155	0.00063634405	0.00036976235
ì	0.756922761667	0.236411738333	0.00367792246667	0.000715838394	0.00153293964	7.48385988333e-05	0.000466061396667	0.00019790227
n	0.637442687222	0.308722499444	0.0400628898222	0.00336099786467	0.00580560502	0.000825407499611	0.00153002446556	0.00224986353
i	0.545229445741	0.374705873148	0.0626714926074	0.00421326713156	0.00739687559333	0.00105601106587	0.00183128009852	0.002895730632
e	0.378655645247	0.383142517716	0.217764635536	0.00151634262385	0.0164300209511	0.000399602484623	0.00093722006284	0.00115402179933
n	0.230240905082	0.220055119239	0.479873498512	0.00197447411128	0.050986254317	0.00175544812487	0.00397835227428	0.0111359600664
è	0.180788781694	0.128091226413	0.612667632837	0.00268185107043	0.0505125037723	0.00292546400829	0.00582788862476	0.0165046350221
r	0.127745492565	0.099711125471	0.735514110946	0.00213984529014	0.0212852665908	0.0019839139361	0.00354092880825	0.00807928350737
k	0.0604998131883	0.080753285157	0.782653783649	0.00548859883005	0.0607146918636	0.00256800261203	0.00327212266942	0.00404971940246
o	0.0497457213961	0.0905881683857	0.700055991216	0.0650245232767	0.0811459139545	0.00626077320401	0.00378553108981	0.00339342603415
t	0.0496880484654	0.0662293751286	0.689796203739	0.0925757444256	0.0649560433182	0.010003905068	0.0178170712299	0.00893364351138
t	0.0284534878218	0.0896501007095	0.583284157913	0.0563365048085	0.133303603106	0.0278321570227	0.0590291527433	0.0221108428371
e	0.0368556996073	0.0985587505698	0.332134405971	0.211403164936	0.190365127702	0.0359019883409	0.0673639575811	0.0274169226124
e	0.0356497926024	0.0453440115233	0.167119214657	0.264576530312	0.344029225901	0.021138970447	0.10149274586	0.0206495818708
t	0.0195788069341	0.0240754278411	0.0905821428857	0.117803246437	0.463016748634	0.0807881824823	0.16193672862	0.0422187862903
u	0.014356744378	0.015321142147	0.0512121859619	0.056705552479	0.406239922878	0.104641582827	0.294177102873	0.0573457967634
s	0.014708723526	0.015892186249	0.055683211654	0.0416499911597	0.325847174293	0.135062242942	0.350848610958	0.0603078622545
m	0.014576051842	0.019295481083	0.0592924965513	0.0371103307199	0.261726591431	0.168481442314	0.379095246986	0.0604223340848
è	0.00910545428067	0.0140996657943	0.0321143681838	0.0174521579066	0.27563424381	0.0976300807713	0.493346548995	0.0606174600283
n	0.00864441389356	0.0100334043648	0.0231373910613	0.0125637466355	0.251676897937	0.211704412257	0.423942766332	0.0582969673428
o	0.00995795843119	0.0147846264549	0.0231301060204	0.0529787478785	0.170235075979	0.350545677419	0.328694538777	0.0496732611143
m	0.00839895909706	0.0132852367183	0.0168676806735	0.0617466902595	0.126969940326	0.24192902014	0.483358579592	0.0474438853714
e	0.00412205831902	0.0100745471394	0.0143496318912	0.0259948552198	0.0916113311087	0.11753685438	0.656010576531	0.0803001367905
t	0.00430432400634	0.00939762781313	0.0140238766304	0.0142023115399	0.0592327017029	0.07524173146	0.723142488844	0.100454961263
r	0.00343890423545	0.00423990153771	0.0067768689768	0.00546813937997	0.0442657385676	0.04274835282	0.810014809615	0.083047369421
ò	0.00465755974515	0.0086581853459	0.00849027009227	0.0349690296933	0.0295172528559	0.0788914932733	0.685979283205	0.14883698314
m	0.00547656894838	0.0117635230153	0.0114160233641	0.0464564091311	0.0286425182853	0.106288284424	0.588540724402	0.201415937713
e	0.00333910598279	0.0108648852384	0.0114463544547	0.026194328277	0.0246726970951	0.0729875261413	0.528473664801	0.322021429238
</S>	0.0030019389414	0.0128084766192	0.0128296012273	0.0263730631385	0.0212311600476	0.0614484100706	0.4117437424	0.450563614619
