 	ti	dico	una	cosa	però	non	parlare	di	queste	cose	con	Maria	</S>
a46	0.01135920365	0.081155774005	0.0067666507	0.00945250975	0.002302338875	0.0154121665	0.003189424235	0.0090504056	0.03076003885	0.35348153345	0.1097872695	0.06952578224	0.297756914107
a28	0.00955745831667	0.0270824820979	0.00294390130333	0.00657909308333	0.000874019741667	0.0122713838067	0.00118177913333	0.0161218558667	0.0351303682833	0.664489744483	0.101144931933	0.023241196857	0.0993817787867
a15	0.0108546257722	0.00902750300318	0.00106323136211	0.00482530276111	0.000366848547222	0.00437617902557	0.000409477759443	0.0190079879556	0.0217386967611	0.851962714828	0.0353532198443	0.00775590296267	0.0332583427202
a31	0.00770469842407	0.0030091687528	0.000368663169703	0.00480503932037	0.000152029353074	0.00203302632519	0.000152532227481	0.0364369799852	0.013121975887	0.905552754943	0.0129385424814	0.00259433517422	0.0111302907334
a20	0.00733255497469	0.00100308141238	0.000162033261234	0.00901458144012	0.000139887488358	0.00891097697506	0.000103382626827	0.0723501719951	0.025649435929	0.864083334981	0.00655357872713	0.000927271328073	0.0037697319298
a31	0.0055796192849	0.00033500171992	0.000123161428411	0.00907687204671	0.000133709286119	0.0320112526584	0.000100018926942	0.328942693998	0.0412265563097	0.57328504166	0.00748574104238	0.000382172296024	0.0013181890146
a35	0.00200385973497	0.00011235014595	0.000124029794137	0.00460812758224	9.87016720397e-05	0.0568939562195	9.3621580314e-05	0.610334054666	0.0926584421032	0.22555021722	0.00681460894746	0.000203173728675	0.000504870187533
a8	0.000889997158323	3.75910193633e-05	0.000105090197046	0.00276423282741	0.00026677191068	0.0745806907398	0.000166673873438	0.657017174889	0.176042984034	0.0845461270733	0.00314269938249	0.000159967191558	0.000279984670511
a31	0.000833996452774	0.000433881599658	0.00483267620802	0.0463651639091	0.00213295803689	0.0925279969133	0.00327815692448	0.538144604963	0.149114127011	0.0651516070244	0.0962964065942	0.000174912799186	0.000713452416837
a29	0.000884488950925	0.000624798136553	0.00786563240267	0.0779549426364	0.00363930114563	0.137370782304	0.00646836840816	0.465463581654	0.10696660467	0.0588761083415	0.132520929531	0.000260211389729	0.00110419367228
a41	0.000604205100308	0.000274459388851	0.00421085432089	0.0456183140788	0.00321418904854	0.151553994101	0.00486136206939	0.464129227218	0.252164378223	0.0221154594472	0.0503368875437	0.00020373435391	0.00071289855076
a37	0.000867350016769	0.00012190601495	0.00170570978363	0.0232639172263	0.00459340534951	0.1229146497	0.00273041702313	0.394679175739	0.416198479408	0.0130028638157	0.0195229175479	9.25164243033e-05	0.00030667717692
a24	0.0118350665056	0.00196589145032	0.00785867008454	0.129616196409	0.0236351954498	0.1077114369	0.00459016117438	0.29679383858	0.374185819803	0.0241751479386	0.0159978788493	0.000386945440434	0.00124776049231
a28	0.0389863555019	0.00726712035011	0.0195933033615	0.310321258803	0.0594191508166	0.0855660709667	0.00773183805813	0.16181048286	0.239465643268	0.0452573893129	0.0205439589498	0.00114414998014	0.00289326863077
a31	0.047405651834	0.01578781745	0.0447872831205	0.479241892934	0.0644209869389	0.0668011369889	0.00776845041938	0.0760738949533	0.125109663756	0.0458556104376	0.0201455873166	0.00231095159338	0.00429107341026
a20	0.032963890278	0.0327514724833	0.0958169710402	0.591097210978	0.0458328416463	0.0567261529963	0.00739992487313	0.0334083089844	0.047144865452	0.0270167941459	0.0189986634389	0.00325597243113	0.00758695013675
a24	0.0330010017593	0.0472457174944	0.12721128368	0.606744736993	0.0398085252154	0.0510518116654	0.00715499905771	0.0183074426615	0.0175110524507	0.0164290457153	0.020279408813	0.00449465981038	0.0107603413789
a31	0.0652673025864	0.0799420524981	0.12021762456	0.501427948998	0.0598482837385	0.0433673612218	0.0108715421192	0.0157307772205	0.0132684275836	0.0146928015718	0.0292299596043	0.0214147119368	0.0247212201263
a13	0.0769360975288	0.097795884166	0.11407048152	0.417117466333	0.0793373159128	0.0412555137406	0.0147908442064	0.0155080115735	0.0121510528612	0.0133449315239	0.0442866412014	0.0296921166456	0.0437136203754
a18	0.0747041058429	0.103571654722	0.10992225384	0.435066338778	0.0719608149709	0.0412363342469	0.0125243995688	0.0151498810245	0.00854948695373	0.0105666388413	0.0396774134005	0.0268508102152	0.0502198531251
a31	0.112767728614	0.121543451574	0.0987720279467	0.341606889593	0.10796508999	0.0347875010823	0.0182851301896	0.0166116340082	0.0164827389846	0.0117354822804	0.0291493128002	0.0400002767384	0.050292750375
a11	0.116591917538	0.108657743858	0.0887250659822	0.221341893198	0.137494159997	0.0463490796941	0.0284497900632	0.0199017326694	0.0216119396615	0.0171592597601	0.0394195826001	0.0470863959128	0.107211468458
a31	0.102500070513	0.0931879379527	0.0794804319941	0.160287551066	0.126057793332	0.0488881452314	0.0339325900211	0.0254831955565	0.0262484852205	0.0388784275867	0.0736968458667	0.0629555503043	0.128402997153
a46	0.091031225171	0.0920642559842	0.0836808573314	0.136678040355	0.132376817777	0.0557147670771	0.037919551007	0.0235822795188	0.0249227277402	0.0462753058622	0.0940443252889	0.0722780207681	0.109431843384
a31	0.061665682057	0.0701315433281	0.0687495557771	0.103768095452	0.107790635926	0.0621275666924	0.0382935430023	0.0453681335063	0.0198261469134	0.107008189954	0.14578741843	0.066647754256	0.102835757795
a8	0.0592583746857	0.052560475776	0.0511565719257	0.0661718418173	0.0792230119753	0.0559703298975	0.0457927703341	0.0685983995021	0.0353649036378	0.142040093318	0.161216019477	0.0698217514187	0.112825462598
</S>	0.0666994953428	0.058408697888	0.0575029059629	0.0679002229086	0.0804612409877	0.0601431099487	0.054099496667	0.0646876597511	0.0474830883189	0.104336091659	0.120561954739	0.0708013307094	0.146914696299
