 	il	morto	vuole	pianto	</S>
a31	0.0250496895	0.1860725475	0.276360896	0.066200767	0.44631607055
a28	0.0235362685	0.497577665833	0.279429023	0.0504925818667	0.148964413074
a17	0.0588638025	0.653001505278	0.212826512	0.0251843178222	0.0501238481823
a31	0.0744026015	0.705629901759	0.18466717	0.0181162274407	0.0171840973768
a20	0.0364819858333	0.874725417253	0.0745270593333	0.0085253937469	0.00574013136293
a0	0.0181099761111	0.872542422418	0.0887617431111	0.015675624349	0.00491021100898
a31	0.148537711537	0.703732967473	0.094669890037	0.042806185783	0.0102532353363
a13	0.216554117179	0.586712382491	0.0669796890123	0.113673855261	0.0160799807788
a6	0.115578961393	0.473068157497	0.108328833004	0.27896401842	0.0240600492596
a31	0.061170048131	0.269993712499	0.175777777668	0.464378559473	0.0286798944199
a46	0.0295129160437	0.125923655166	0.203608562556	0.610341019824	0.03061381814
a37	0.0209218386812	0.0946164960553	0.187276434185	0.671343819941	0.0258413767133
a31	0.0211359288937	0.100047198685	0.199682054728	0.648253123314	0.0308816752378
a46	0.0167149319646	0.057457135895	0.198344898243	0.664961074438	0.0625219760793
a31	0.0432921889882	0.0749968916317	0.179851192748	0.587931814813	0.11392793536
a46	0.0592076449961	0.0870930505439	0.166364687583	0.504201364938	0.183133271787
a8	0.0555318736654	0.067617946848	0.163999315861	0.510510874979	0.202340007262
a31	0.0911316778885	0.105759018949	0.18558020862	0.432010384993	0.185518709087
a8	0.0968614992962	0.10863430865	0.170715006207	0.389637201664	0.234151986362
</S>	0.0765497946481	0.081519497825	0.150476138103	0.409494920832	0.281959668181
