 	vuole	bianco	</S>
a20	0.229877805	0.55303353	0.217088615
a31	0.485021761667	0.415081092667	0.0998971196533
a11	0.496105834556	0.307138953556	0.196755184538
a31	0.478031178852	0.288936134519	0.233032654513
a39	0.472448794617	0.415650378173	0.111900821171
a20	0.208534854872	0.696321492724	0.095143659057
a31	0.218138806624	0.607037917575	0.174823285019
a39	0.203443949541	0.584628125858	0.21192792834
a46	0.151785410514	0.625496965286	0.22271760278
a24	0.132708228171	0.561333611762	0.305958127593
a46	0.0729373963903	0.515456197254	0.411606385864
</S>	0.0574784116952	0.449433638627	0.493087942932
