 	ora	ho	finito	di	scrivere	</S>
a23	0.43836985075	0.0653992425	0.0062221585	0.01004027482	0.275109155735	0.204859280725
a31	0.585784676917	0.176366914167	0.0548683585	0.0222283911533	0.0917701181897	0.0689815240917
a28	0.384392548972	0.346566348056	0.0724542685	0.0952381193844	0.0306204076946	0.0707283147306
a31	0.431034546324	0.350147706019	0.0282705745333	0.105196814128	0.0107249455082	0.0746254179102
a41	0.428881765441	0.41101561534	0.0341498975444	0.0758756590427	0.00413270424273	0.0459443643034
a21	0.198523731814	0.626822805113	0.0396368808481	0.0690581663476	0.00146248741558	0.0644959467678
a24	0.247675070605	0.592355921704	0.0184721882827	0.0381296257825	0.00078135869986	0.102585858923
a31	0.367966900202	0.489916253901	0.0094304117609	0.0303870942608	0.0130761974333	0.089223175641
a39	0.286066733401	0.4031090313	0.00651583868697	0.0720789267536	0.131253581478	0.100975934547
a31	0.1816006778	0.2658575871	0.0424580849957	0.146621652251	0.202813397159	0.160648651516
a28	0.1509838826	0.1762040477	0.0796989849986	0.153892837417	0.171841599053	0.267378670505
a31	0.1154876242	0.1174044079	0.0872016016662	0.235073222472	0.168687696351	0.276145460168
a20	0.117484958067	0.111306662633	0.106168353889	0.274807777491	0.17681896545	0.213413306723
a37	0.134473296022	0.132918480878	0.130644577963	0.197652122497	0.184567511817	0.219744048908
</S>	0.144608863011	0.144032415439	0.143354903981	0.187216726248	0.177672540908	0.203114609454
