 	allora	io	ora	sto	studiando	di	maestra	ma	ho	una	sorella	mia	sorella	studia	quest'	anno	che	viene	per	medico	</S>
a31	0.1376126815	0.0430586	0.1085876325	0.001537261418	0.02270358725	0.057048437	0.148158008	0.00440989832	0.0098377403	0.0171220391	0.0023376876	0.0479220993	0.0076423323	0.0396965357	0.0025038633	0.0034861113	0.00345691445	0.02013173715	0.022809177	0.079076782325	0.220860891865
a17	0.1501138205	0.0333276217133	0.102401457367	0.000542090441567	0.0115447605033	0.0287800988333	0.146801551	0.00177508958433	0.00882739203333	0.0159129714667	0.0023855647	0.0492971134333	0.0142516877667	0.0141352455011	0.001138598654	0.00508374216667	0.07224288435	0.225148483717	0.0161246136547	0.0264396609912	0.0737256194004
a31	0.116932890167	0.0254084329511	0.0910309456557	0.000194487007422	0.00771647675443	0.0267069491111	0.128557085333	0.000801037292443	0.00634783094444	0.0139675445889	0.00196128546667	0.0409184644778	0.0142650944889	0.00474351548476	0.000390722036333	0.00653539172222	0.129639898117	0.339585031239	0.0108574285396	0.00882692927929	0.0246126166975
a17	0.0946828017223	0.029083242317	0.0980188418852	7.85191439073e-05	0.00688658108481	0.0298719777037	0.228479465111	0.000475316254814	0.00605128181481	0.0158683915296	0.00147334262222	0.0797769061593	0.0092883828963	0.00161567304325	0.000144399423778	0.00896741224074	0.158939346039	0.20957124508	0.00942866624653	0.00296374465643	0.0083344688845
a31	0.0636377099074	0.0216806951057	0.0953610006284	2.89673830691e-05	0.00367817099494	0.0164208994346	0.38443573837	0.000167097488938	0.00335128783827	0.0102940519765	0.00146529477407	0.0891375727198	0.00625988159877	0.000547251929417	6.5372116926e-05	0.0124853100802	0.162855312013	0.120322938693	0.00368455333884	0.00102257333414	0.0030983389515
a34	0.0402689176358	0.0478836620352	0.122675503543	1.42296263564e-05	0.00454978946498	0.0220658616782	0.397986339457	6.16215993127e-05	0.00350655134609	0.0112473997922	0.00171957159136	0.0996301482399	0.00337290253292	0.000189381306806	6.58027439753e-05	0.0210965146934	0.159715257338	0.0597232065643	0.00207672670295	0.00040165406938	0.00174898231717
a1	0.0275793838786	0.0572198490117	0.106886814514	8.87211645213e-06	0.00534640785499	0.0307086278927	0.394924416486	3.43692537709e-05	0.0042949159487	0.0144254402641	0.00164165394045	0.139902412747	0.00258513827764	6.63636473687e-05	5.76961113251e-05	0.0207166268645	0.154724783779	0.0357005221881	0.00191718406765	0.00017060254146	0.00108789674906
a35	0.0277235879595	0.0848065313372	0.175475408171	9.17654248404e-06	0.00773098231833	0.0473382112976	0.379365195495	3.23768255903e-05	0.0050618074829	0.0169963254214	0.00093062149015	0.140356720916	0.00186392562588	2.61709455562e-05	7.29618371084e-05	0.0095701684215	0.0788827199263	0.019671641296	0.00260033625588	9.921477382e-05	0.00138588615969
a31	0.0689250113198	0.0933962124457	0.210553412724	2.05607584947e-05	0.0598101197728	0.155405103766	0.238375995165	5.33954618634e-05	0.00552029582763	0.0191426338071	0.000658674773383	0.0977499136387	0.00105722444196	4.13044515187e-05	0.000158145875703	0.00530514767383	0.0283911958088	0.00840330866533	0.00526488888529	0.000128797956273	0.00163862893323
a20	0.182440543773	0.0508448071486	0.155505314241	2.50501024982e-05	0.0976496519243	0.238614954589	0.181803331722	6.17503872878e-05	0.00351574039254	0.0137765433357	0.000404407914461	0.0472599032129	0.000476330243987	8.49478418396e-05	0.000174039149901	0.00245125111128	0.0102701791696	0.00572968922178	0.00768609562843	0.000225205718758	0.00100023292441
