 	mia	sorella	quest'	anno	che	vienne	studierà	per	medico	</S>
a10	0.0425725085	0.0073735432	0.00279323895	0.0656862435	0.14505228	0.0987982667	0.0651621455	0.121047905	0.07603101692	0.375482827845
a31	0.0303803964	0.00480919285667	0.00153824174667	0.0804379978333	0.174172098	0.340527195567	0.0712516438333	0.145799001667	0.0254488594933	0.125635356478
a1	0.0187843653667	0.00192956937556	0.000630350425557	0.0470628762778	0.109489290667	0.551488708522	0.129506943278	0.0900087782223	0.00864948563443	0.0424496186027
a28	0.0141889895889	0.00515280989185	0.0125120451885	0.182040892426	0.190287176889	0.392746929507	0.140574808693	0.0402383015408	0.00420380667481	0.0180542053442
a24	0.013388423663	0.00663136669728	0.0175530428962	0.460830610809	0.276897432296	0.145935610236	0.0479780614643	0.0167712359803	0.00292547675827	0.0110886889147
a31	0.0642829168877	0.00831251429909	0.00737906479873	0.400379053936	0.182978858765	0.055854361812	0.240722738121	0.0318174196601	0.00155806390609	0.00671498927157
a18	0.113698627629	0.010005468933	0.00319222936624	0.145814413312	0.072817076155	0.0256018985373	0.57827644604	0.04286285122	0.00144139695536	0.00628957859052
a24	0.267597864543	0.010487777811	0.00174184565541	0.0534010744373	0.0267103192183	0.0103997183791	0.544081955347	0.0782898050733	0.00124937527845	0.00604023553017
a13	0.354720561514	0.0125352337703	0.00142708891847	0.0206955514791	0.0104766514728	0.00607440372637	0.337273631782	0.250977611691	0.000607198732817	0.00521203627672
a18	0.227364433838	0.0102159201901	0.00153581057282	0.010339701493	0.0055582259576	0.00526264790879	0.246841203927	0.487514680564	0.000421852247606	0.00494550132557
a31	0.167424951279	0.0235875084967	0.00357724825761	0.0174929331643	0.0552591876525	0.0456509373029	0.268825901309	0.407928305855	0.00121457327254	0.00903843190852
a24	0.15944818376	0.0492134628322	0.0079456668192	0.0327137757214	0.125230712551	0.090863329101	0.360527240436	0.153996107285	0.00284232582418	0.0172191829695
a11	0.162369061253	0.0744138342774	0.0125555889397	0.0453613912405	0.15821072085	0.105691113034	0.353862660145	0.066327646095	0.00292511730806	0.0182828729898
a31	0.133958950418	0.0739718337591	0.0177503346466	0.0796522817468	0.215669353617	0.171016404345	0.238582503382	0.0367953476983	0.00467197040269	0.0279310163299
a39	0.0762815851393	0.065748790253	0.0244927032155	0.130215470582	0.256727637872	0.213799008115	0.135610767794	0.0216187962328	0.0095416213009	0.0659635887766
a20	0.0537984567131	0.0650675334177	0.0244217444052	0.137734848194	0.279874045957	0.202861612705	0.144528505931	0.0121715475776	0.00941695543363	0.0701247282589
a31	0.0456276309044	0.0572696784726	0.0286378801351	0.126529554065	0.302864421986	0.243176230902	0.13596770331	0.0104723323592	0.00737259781121	0.0420819694196
a17	0.0365754939681	0.0568117301575	0.0347676377117	0.156987218022	0.304628480662	0.267118183634	0.0732872924367	0.00996374745307	0.00876121493707	0.0510990024732
