 	non	aveva	dove	a	stare	</S>
a31	0.321223965	0.207067925	0.088491008	0.1256311	0.209042175	0.0485438145
a8	0.282408394867	0.1592581012	0.0525281527887	0.0604825798	0.404774741667	0.0405480238333
a31	0.260822608156	0.0989672032667	0.0181533959516	0.0247591990667	0.561239347222	0.0360582226111
a28	0.255451905385	0.0962158527556	0.0080392772172	0.0227542756889	0.526220759074	0.0913179178704
a37	0.0881741515617	0.0569398359185	0.00503807950573	0.021154382563	0.632632706358	0.19606084929
a31	0.110925537621	0.0976482719728	0.0217277999352	0.106423341521	0.503894798786	0.159380244097
a18	0.120725533874	0.134847397324	0.0286606480784	0.133897398507	0.522042442929	0.0598265693657
a0	0.0465031996247	0.0834333494413	0.0353270007928	0.188330027502	0.61076832431	0.0356380857886
a23	0.0201920922082	0.0422428334804	0.0743661602643	0.262277952501	0.55709918477	0.0438217609295
a8	0.0103135120694	0.0259882051601	0.0669874544214	0.1770051575	0.684264294923	0.0354413501765
a31	0.0144768883565	0.03124972572	0.0574632724738	0.235416569167	0.638801164974	0.0225923535922
a20	0.0277661627855	0.0547284119067	0.0965426741579	0.361037959722	0.428305711658	0.0316190581974
a31	0.0573560359285	0.0884139506356	0.124718611386	0.342257236574	0.314946400553	0.0723077427325
a20	0.0725681553095	0.0954747018785	0.119749950462	0.316439598858	0.269777233518	0.125990364244
a24	0.0643336231032	0.0812225022928	0.123467650154	0.357902109619	0.251837551173	0.121236551415
a8	0.0737256757011	0.0920826674309	0.164970713385	0.355930199873	0.218380150391	0.0949105404717
a31	0.101334115234	0.116972292477	0.181718231128	0.294994519958	0.194482026797	0.110498796824
</S>	0.118321667617	0.130586296238	0.174215185564	0.258573779979	0.190814648398	0.127488438412
