 	non	sono	ancora	vestita	</S>
a31	0.152377456	0.0894382156	0.507121665	0.038857469	0.21220515835
a23	0.082471996	0.0345090959333	0.786156191667	0.0243000223333	0.0725626530167
a31	0.0745932686667	0.0184149656444	0.858161087222	0.0226323907778	0.0261982713289
a7	0.0560958652222	0.0111141364148	0.900135742407	0.0181800425926	0.0144741907663
a31	0.151983187407	0.00519426330493	0.814701750802	0.0153083121975	0.0128124188221
a13	0.197843089136	0.00314509100164	0.776903040267	0.0105607117325	0.011548000174
a31	0.096305655712	0.00286399836721	0.851945480089	0.0329755359108	0.0159092753913
a37	0.0525872422373	0.0042967272224	0.820830093363	0.0932242786369	0.0290616191304
a18	0.0640289984124	0.0228239720741	0.656478314454	0.132733029546	0.123935658377
a31	0.0988241561375	0.0564010540247	0.394892204818	0.202957346515	0.246925229459
a46	0.110918582046	0.0904616480082	0.274428878273	0.232600728838	0.29159015982
a8	0.129887800682	0.128759192669	0.273585079424	0.194113016279	0.27365488994
</S>	0.148971270341	0.148591646335	0.263372179712	0.18974897314	0.24931590997
