 	non	avete	mangiato	mai	un	rustico	</S>
a23	0.06781682	0.00552769688	0.00523233765	0.01027266089	0.485559586	0.0185015259	0.40708939396
a31	0.042427545	0.00430947121333	0.0643666679833	0.02194058889	0.722151518667	0.0072520337	0.137552240493
a29	0.126917514667	0.00453954970444	0.144170452661	0.03125747663	0.636032572889	0.00378123033333	0.053301244031
a24	0.157492563556	0.00397627900148	0.242585700887	0.0255296435433	0.485673734296	0.00876169441111	0.075980358677
a18	0.158282689852	0.00549492746716	0.252276543629	0.0253265065144	0.414434178099	0.0101325144037	0.134052586226
a31	0.412877006617	0.00454597342239	0.128199874876	0.0167878680048	0.332090216033	0.00372409443723	0.101774927842
a13	0.480097542206	0.00199317467413	0.0539037924587	0.00879973483493	0.407762318678	0.00127032274308	0.0461730923807
a11	0.258734752069	0.00119838119138	0.0256826213196	0.00524340816831	0.679974539559	0.00045330368936	0.0287129517936
a8	0.247161682023	0.00353964676379	0.0156359464399	0.00248360351277	0.704462279853	0.000257456836787	0.0264593275979
a31	0.345281780674	0.0089963342546	0.0169571541466	0.00345304340426	0.571988193284	0.000696903405596	0.0526265491993
a24	0.350244990225	0.0288218550849	0.0410443040489	0.0124591914681	0.432622887761	0.0136111088685	0.121195653066
a31	0.318662163408	0.0943563850283	0.056595586683	0.0245863254894	0.266263969254	0.0814925729562	0.158042981022
a39	0.255084404469	0.137418921676	0.0693122942277	0.0353548491631	0.184844573085	0.134727154319	0.183257780341
a20	0.21660251149	0.129577883892	0.0990916214092	0.0575895483877	0.134838811028	0.130124808106	0.232174813447
a31	0.21777256383	0.166133504631	0.0903206204697	0.0641500934626	0.113467507009	0.159349352702	0.188806332482
a20	0.197287661277	0.175033194877	0.0654033058232	0.0502302928209	0.134286742336	0.177600304234	0.200158452161
a31	0.178992220426	0.168468791626	0.0691493242744	0.0531702049403	0.135155880779	0.189863018078	0.20520051272
a46	0.172224743475	0.172544570542	0.0741365727581	0.0603839033134	0.133458223593	0.196561332693	0.19069062624
a31	0.156106464492	0.157281953514	0.0927018422527	0.0718469244378	0.129034161198	0.201158744231	0.191869896747
a23	0.147447788164	0.150509161171	0.108524638751	0.0870362414793	0.125400327066	0.19826560141	0.182816226916
a31	0.138043069388	0.14008707039	0.123576260917	0.0971507718264	0.122801130689	0.195370707137	0.182970972305
a46	0.134453446463	0.136019436797	0.134723602306	0.107221861942	0.121137771896	0.192836995712	0.173606834102
a8	0.131014598821	0.131685755599	0.130587872769	0.121911113981	0.135474300632	0.164416545237	0.184909768034
a31	0.13519192294	0.137129271866	0.139836664256	0.13209403466	0.131593565211	0.165338688412	0.158815832678
a38	0.136596384313	0.137737300622	0.137971794752	0.128755514887	0.134683556737	0.159764842804	0.164490580893
a20	0.128772684771	0.128892533541	0.136359058251	0.134101934962	0.137931018912	0.154630734268	0.179312030298
a31	0.130775848257	0.13162988118	0.142422189417	0.139747601654	0.134176829637	0.158233488089	0.163014186766
a20	0.133233649419	0.132424612393	0.137212036472	0.130886227218	0.139306373212	0.150700289363	0.176236815589
a31	0.126098754806	0.123486392798	0.150357568824	0.128676455739	0.131335781071	0.160096959788	0.17994809853
</S>	0.122980234903	0.120622596399	0.170381434412	0.133384432869	0.117648115536	0.176968054894	0.158015174265
