 	avete	cucinato	le	verdure	</S>
a29	0.087597205	0.267357025	0.1025227315	0.30152961	0.240993435
a38	0.0884303116667	0.162265739	0.0951597543667	0.54407358	0.1100706512
a31	0.197877000556	0.0680910603333	0.0810986819889	0.614922653333	0.0380106672333
a11	0.197938014419	0.0337771972644	0.074731079763	0.674426064444	0.0191277060444
a37	0.0740426407063	0.0126183818748	0.0269483978877	0.871236994815	0.0151536070148
a11	0.0393435005688	0.0109665462583	0.0150766941626	0.911371384938	0.0232418963383
a31	0.0423938421896	0.207737128753	0.0249070960542	0.632378628313	0.0925833374461
a20	0.0491361783965	0.456320239584	0.0380922860181	0.260330351438	0.196120949149
a31	0.0846970104655	0.367497653195	0.0509848873394	0.153728542479	0.343091896383
a39	0.123530523489	0.197167904398	0.0942196524465	0.164420220826	0.420661675461
a13	0.128689761163	0.176467601466	0.136800344149	0.184212316942	0.373829948487
a18	0.134723513721	0.187500260489	0.14666845805	0.186013752314	0.345094016162
a39	0.144880464574	0.198506253496	0.156458726017	0.189150314105	0.311004262054
a31	0.165953554858	0.201021354499	0.173116065339	0.193507861368	0.266401147351
a46	0.157021604953	0.172293604833	0.177437345113	0.209527650456	0.28371977245
</S>	0.136765057477	0.147174152417	0.174113082556	0.224830090228	0.317117616225
