 	sicuramente	stanno	ancora	svegli	</S>
a17	0.05253672	0.0639569025	0.49700699	0.07362342	0.312876033325
a24	0.0298018035	0.0349709199333	0.774354353333	0.0557250033333	0.105147982992
a28	0.0176855486667	0.0158695250778	0.854044701111	0.0717226444444	0.040677603664
a37	0.0225052155556	0.0141659990259	0.819028563704	0.111281771481	0.0330184292213
a18	0.0274274631852	0.0146759266753	0.745622021235	0.163198040494	0.0490764814071
a39	0.0286595660617	0.0121784675584	0.725322760412	0.181726290165	0.052112874469
a31	0.0284829600206	0.00866126498613	0.740199253471	0.184592890055	0.038063658823
a39	0.0194350928735	0.00639280596204	0.691873397824	0.254904613352	0.0273941042743
a31	0.0624047081578	0.025929290154	0.516764392608	0.341739694451	0.0531619094248
a46	0.0887013683859	0.0459053733847	0.307739024203	0.389674264817	0.167979983142
a31	0.232733395129	0.0468761311282	0.179152981401	0.321895704939	0.219341791047
a18	0.27656936071	0.0376171913761	0.1399482638	0.353300231646	0.192564953682
a31	0.21907109257	0.0318580914587	0.133574741267	0.405531957215	0.209964124561
a39	0.20761244419	0.0292357561529	0.124554613756	0.425760085738	0.21283710152
a31	0.234183128063	0.022951704051	0.108835525585	0.426296751913	0.20773288384
a41	0.253775891354	0.021770013017	0.096124386195	0.407183460638	0.22114622128
a39	0.144424524451	0.0182483996723	0.107389502065	0.484443673546	0.245493880427
a28	0.0898545554837	0.0146606578908	0.118716254022	0.536799457849	0.239969070142
a20	0.0468304884946	0.0107944006303	0.131549998007	0.60936993595	0.201455160047
a31	0.171976370832	0.0223568542101	0.112977442669	0.517986561983	0.174702773349
a39	0.237411563611	0.0332740967367	0.105669537556	0.410599840661	0.213044997783
a35	0.139449733204	0.0282862802456	0.104223089185	0.443420473554	0.284620472594
a31	0.217570783068	0.0535144467485	0.100819286395	0.368548114518	0.259547400865
a11	0.259416437689	0.0715940755828	0.114566678798	0.309872394839	0.244550406955
a18	0.16327004423	0.0522587235276	0.109033236266	0.372667891613	0.302770078985
a24	0.120183769743	0.0388976288425	0.106906373422	0.415432727204	0.318579486328
a31	0.224241949914	0.0466128569475	0.106760475807	0.358510655735	0.263874042109
a18	0.241277677305	0.0490688816492	0.120770798602	0.325798435245	0.26308418737
a31	0.281886566435	0.0425775685497	0.118353541534	0.297422278415	0.25976003579
a18	0.296073262145	0.0409434921832	0.117444305845	0.286476802805	0.259062128597
a15	0.127284499382	0.0352503900611	0.150232738615	0.358404970935	0.328827399532
a8	0.082834921794	0.050859591687	0.158226046205	0.366892480312	0.341186979844
a39	0.111601607265	0.098822312229	0.162674875402	0.321331160104	0.305570069948
a31	0.166403962422	0.148371910743	0.176452095134	0.256685456701	0.252086576649
</S>	0.193629546211	0.166930850371	0.183011997567	0.22974984835	0.226677753325
