 	forse	sono	usciti	</S>
a23	0.4502794325	0.2286322705	0.14867006	0.1724182265
a31	0.505591224167	0.08534519468	0.323767243333	0.0852963565
a23	0.451447488056	0.0286180579433	0.464966187778	0.0549683247
a31	0.629835609352	0.0109380134178	0.326579209259	0.0326472351
a10	0.732471616451	0.0049935107606	0.23366055642	0.0288743350333
a37	0.77304287215	0.0017168567382	0.210259815473	0.0149804373444
a31	0.688601997383	0.0261221293427	0.267313888491	0.0179619591148
a37	0.716183719128	0.0386529034476	0.226375421497	0.0187879091716
a31	0.614301726376	0.204326179816	0.128209819166	0.0531622325239
a39	0.269148855459	0.264672408939	0.367621429722	0.0985572958413
a31	0.146228878486	0.161517778646	0.484480363241	0.207772966947
</S>	0.141697319243	0.176402164323	0.367340881621	0.314559608474
