 	vivendo	la	mia	figlia	la	avevo	portata	alla	chiesa	</S>
a31	0.19549285	0.047071298	0.0152467395	0.0430010255	0.0108010015	0.0494653135	0.157680457	0.0502111035	0.0919536	0.3390766265
a28	0.159053299551	0.0408357919833	0.01274666286	0.0396826080533	0.0632370108333	0.125864407833	0.320879302333	0.0382046778333	0.08351285	0.115983384957
a24	0.053032795682	0.0169330129778	0.00888907964667	0.0175685832378	0.212136510278	0.194814315944	0.304962759111	0.0269012686111	0.121796566667	0.0429650764423
a28	0.01769847769	0.0241268383259	0.0242884875489	0.0196046740793	0.300415626759	0.174413107315	0.16579128137	0.0448847928704	0.197654595556	0.0311220794808
a31	0.00593849879033	0.0248958595753	0.0258471427496	0.0208539740264	0.199505637253	0.234154077772	0.18956835379	0.0772038029568	0.197056408519	0.0249761931603
a20	0.00205487192211	0.0115961625584	0.0101274857165	0.0130126735088	0.076566751751	0.278683632591	0.24906173793	0.194464012986	0.153116956173	0.0113156782534
a31	0.014882634254	0.0270600510861	0.0288283914722	0.0102642270029	0.0300792609837	0.170109979197	0.200069885977	0.269463107662	0.135526158724	0.113716270951
a13	0.0389254127513	0.0605085670287	0.0540235311574	0.0211306353343	0.0202557437279	0.091431131399	0.115144934659	0.223800869221	0.139660216241	0.23511892365
a31	0.0780759342504	0.0699418023429	0.0562157573858	0.0241874361114	0.0190789692426	0.0555320644663	0.0591592622197	0.152050410407	0.12899278208	0.35676557455
a41	0.10893217475	0.0705845174476	0.0588954937953	0.0260681210371	0.0224217257475	0.0374457144888	0.0378893220732	0.0950816921357	0.13029703736	0.41238422485
a33	0.0956201915833	0.0770451824825	0.0609444769318	0.0362005083457	0.0319655229158	0.0402885258296	0.0394647466911	0.0968256533786	0.18498322912	0.336661981617
a8	0.0622893131944	0.0702590858275	0.0593521166439	0.0528943041152	0.0478055733053	0.0993333106099	0.0680507615637	0.0941009177929	0.194813569707	0.251101037206
a24	0.0318662023981	0.0471312322758	0.044408155548	0.0616743993717	0.0592705577684	0.31829888687	0.117634837188	0.0642985562643	0.122571962902	0.132845205735
a37	0.013577451666	0.0224656325253	0.0222456670827	0.0439092454572	0.0618596039228	0.52795856229	0.161238379063	0.0367314180881	0.055890766634	0.0541233159117
a5	0.00593258098867	0.0157035832751	0.0140849429276	0.0311983921524	0.0686009159743	0.55107658743	0.220101913021	0.0283359053627	0.0364042182113	0.0285610209706
a31	0.0110682908962	0.040464060425	0.0317717759759	0.0668849433841	0.0778940519914	0.487006112477	0.19610755434	0.0245106061209	0.0312486677371	0.0330439819902
a20	0.0185442202987	0.0868440001417	0.0525431286586	0.107594214461	0.0853561259971	0.346759620826	0.0990135461133	0.0321337590403	0.061335017579	0.109876410663
a31	0.0751748810996	0.136845663381	0.0811205812195	0.10544406482	0.0966180506657	0.185364248609	0.0566437033711	0.0369075863468	0.075289649193	0.150591603554
a8	0.0961641430332	0.163782627794	0.0906924137398	0.0803658426067	0.0931901055552	0.0958842058697	0.0423782021237	0.0449546224489	0.107419649731	0.185168191185
a31	0.113547117011	0.183317842598	0.0830978179133	0.0619492612022	0.0865993638517	0.0577616099566	0.0338586583746	0.0494961011496	0.118049151244	0.212323037062
a20	0.122287775004	0.181428150866	0.0781825433044	0.0554568564007	0.0828923636172	0.0461890909855	0.0338272414582	0.0474180293832	0.111459071748	0.240858835687
a24	0.0728881343347	0.172605086955	0.0705940684348	0.0567222788002	0.0783497602057	0.0493882396618	0.0418587251527	0.0567848184611	0.129286247249	0.271522625229
a31	0.0976101614449	0.200894485652	0.0940879328116	0.0729839296001	0.104915733402	0.0590557348873	0.0473854810509	0.0501690141537	0.089012487083	0.18388502841
a37	0.093893870815	0.185927201884	0.0886380802705	0.0649139442	0.0983494928007	0.0486652626291	0.038417166017	0.0543584207179	0.123138503694	0.203698062803
</S>	0.0597171409075	0.154586535942	0.0654354441353	0.0484203236	0.0729850789003	0.0368956478146	0.0318635665085	0.068485680359	0.183298721847	0.278311891402
