 	io	non	ho	cosa	da	mangiare	</S>
a31	0.37988944	0.0744718985	0.016445039	0.06772759075	0.1536222245	0.064486143	0.24335760585
a37	0.34571419	0.0788360885	0.111284102333	0.166509976917	0.1449931596	0.0689780176667	0.08368443905
a31	0.28908612	0.1137161645	0.220716750778	0.234895668972	0.0541003573	0.0579422375556	0.02954269795
a18	0.234554762	0.1052183015	0.246700066926	0.286975662991	0.0331087184333	0.0754953341852	0.0179471453833
a31	0.325255536	0.0656054498333	0.249744025642	0.243334370997	0.0258302424778	0.0754763580617	0.0147540092278
a11	0.533579145333	0.0392147566111	0.232465181881	0.121900920332	0.0176756674926	0.0425619296872	0.0126023585093
a37	0.685977105111	0.0310050342037	0.159025627294	0.0671007730107	0.0139740738309	0.0316587188957	0.0112585889031
a15	0.814160111704	0.0397864474012	0.0667886214313	0.0280107295702	0.018993842277	0.0265103149652	0.00574990060103
a39	0.633066533901	0.0981851571337	0.0796882294771	0.0206004075234	0.0519657974257	0.104486611655	0.0120072631003
a31	0.3982377613	0.175951575711	0.099373014159	0.0209621865078	0.102996552475	0.171213647218	0.0312652580334
a39	0.281531383767	0.17790419857	0.0769024257197	0.0186781561693	0.193119850825	0.193857252406	0.0580067106778
a20	0.242389061256	0.216657239523	0.0921417085732	0.0164398050564	0.191495238942	0.173306677469	0.0675702485593
a24	0.337809110419	0.307082459841	0.105364087524	0.0157207386855	0.0968425196473	0.0890227864897	0.0481582978531
a31	0.318698986806	0.27873155328	0.110333670508	0.0484617288952	0.0870578845491	0.0885230428299	0.0681931126177
a46	0.281240948935	0.212233884427	0.114173673503	0.0703519016317	0.091619428183	0.108287644277	0.122092504206
a31	0.255114622978	0.182974571476	0.118652441168	0.0850902525439	0.0977207827277	0.116508004759	0.143939328069
a3	0.186264367659	0.155836587159	0.127407100389	0.111995810848	0.119646312576	0.13662963492	0.16222018269
a31	0.161332465886	0.146648892386	0.128987753463	0.117951066949	0.124528142525	0.150829554973	0.169722130897
</S>	0.150378042943	0.145409291193	0.131975876732	0.122280323474	0.127677851263	0.161945462486	0.160333175449
