 	se	aveva	visto	le	nuvole	le	nuvole	avrebbe	capito	che	stava	per	piovere	</S>
a46	0.00583882045	0.00283678842	0.0051804488	0.00223867385	0.0119074297	0.0096992355	0.066222525	0.025269943	0.06602476565	0.3366518007	0.0028715175	0.01483770985	0.03132120288	0.419099119846
a31	0.00239464511667	0.00126693257333	0.0045899803	0.00167798131667	0.0115319384333	0.0111363455	0.0944298783333	0.0344167263333	0.198284481883	0.482047010233	0.00106893350667	0.00617140648333	0.01057633768	0.140407390246
a27	0.00415540137222	0.00201236534444	0.00318738756667	0.00417139550556	0.0297385060111	0.0466778125	0.248749116111	0.0438417254444	0.214671437294	0.348256528411	0.00057082620889	0.00268701686111	0.00374587911	0.047534632752
a17	0.0104025144574	0.0202124714481	0.0690548685222	0.0839827855019	0.086564655337	0.0891978475	0.321639092037	0.0359763191481	0.089922176098	0.16882335647	0.0044014274363	0.00152607397704	0.00181256678667	0.0164839105873
a31	0.0092850333358	0.0247695972127	0.0900461727841	0.107738436867	0.103803888446	0.0894764391667	0.244242657346	0.201251702383	0.0410982730327	0.0748613108233	0.00552522247643	0.000772381017013	0.00101887367622	0.00611004937243
a24	0.00327046324527	0.00845068888757	0.0334246392047	0.0443061713223	0.120039062815	0.0678419880556	0.251447265782	0.404466294128	0.0275032046776	0.0341926744078	0.00202471325648	0.000447477813671	0.00053606468274	0.00204931336014
a29	0.00256803683176	0.00477525004919	0.0308522397349	0.0473639064408	0.202453634272	0.0648844563519	0.271448335261	0.317582298043	0.0345836558925	0.0173134542693	0.00381594985216	0.000688406044557	0.000888349870913	0.000782026566047
a38	0.0102192560773	0.0118394843497	0.092870338245	0.0812447208136	0.245273158091	0.071504906784	0.254675641754	0.144494838681	0.0468877386308	0.0130702527564	0.0237586226174	0.00172805394819	0.00145815305697	0.000974801342016
a31	0.0123405169924	0.0127984316499	0.099019134615	0.0683899190045	0.167471297364	0.046483833928	0.160883727251	0.349859558894	0.0373112288769	0.0119528742521	0.0274684253358	0.00235254791606	0.00242124375232	0.00124720461401
a37	0.0071775105308	0.0054093247833	0.0364822862383	0.0257762053015	0.0697288471213	0.023498940976	0.0747813707503	0.690556499631	0.0210552956256	0.0191783687507	0.00937031507527	0.00422382667202	0.00998468848411	0.00277649487134
a28	0.0112208454103	0.0043841121611	0.0155116684794	0.0118392213005	0.0333496927071	0.0152242618253	0.0394545985834	0.57202394321	0.108670700542	0.112570252917	0.00384166405842	0.0358542805573	0.0307172561614	0.00533751505711
a39	0.0136988048034	0.0043445127537	0.0078379318598	0.0049641193335	0.0154213065024	0.00682637770843	0.0248350531945	0.27096600907	0.222712960181	0.212463357639	0.00353735805281	0.122058063519	0.0833136753871	0.00702046411904
a18	0.0115214061011	0.00390459875123	0.00412432435327	0.00212329611117	0.00689362033413	0.00309609136948	0.0150600690648	0.131286534357	0.25032726006	0.23808752588	0.0031045244176	0.165785551173	0.156000458462	0.00868473370635
a46	0.0266474255337	0.0154716475837	0.00539477738442	0.00534718177039	0.00986642767804	0.00753790832316	0.0217607450216	0.145381411452	0.225568043353	0.281480158627	0.00124268875687	0.105583379391	0.138093618154	0.0106245885688
a31	0.0402237085112	0.0244072401946	0.00824663446147	0.0090882922568	0.0144736468927	0.0119267621077	0.0283078290072	0.244637610484	0.167826357784	0.302891082876	0.00043398855529	0.0461227174637	0.089159964718	0.0122541175229
a13	0.0425728181704	0.0259343120649	0.0103235598205	0.0143412954189	0.0222277566309	0.0191330320359	0.0339371803357	0.324416243495	0.117886535928	0.279237220959	0.00016146830743	0.0261551314879	0.0718408522393	0.0118325105076
a39	0.0461805860568	0.030911234355	0.0129423739402	0.0233107268063	0.036232946877	0.0323504113453	0.0481489294452	0.363637207832	0.082758920976	0.255120726986	6.77043731433e-05	0.0150314961626	0.0430912467464	0.0102154486692
a31	0.0335178730189	0.024548122785	0.0122793409801	0.0284798996021	0.0641336172923	0.0708365604484	0.0719875848151	0.412802842611	0.0520962303253	0.185278595662	4.04870380478e-05	0.00910136472087	0.0256428287488	0.00925466738973
a13	0.0187024873396	0.0161625202617	0.0107057559934	0.0294697902007	0.0947993974308	0.122641960149	0.095073241605	0.457245854204	0.0260577847751	0.099940326554	3.91646926826e-05	0.00572676657362	0.0132298337496	0.0102051344632
a11	0.0230742004465	0.0198064974206	0.0121678383311	0.0348247930669	0.10039035381	0.125151466716	0.0969937818683	0.457093904735	0.020199092925	0.0862784668513	3.38331418942e-05	0.00466850852454	0.00989541741653	0.0094218553544
a28	0.0290227551488	0.0241140171402	0.0137636424437	0.042061993689	0.0978574326033	0.105258665572	0.0939372219561	0.452608858245	0.020259705975	0.100964670617	2.39026526314e-05	0.00390996807485	0.00952262963884	0.0066945559848
a24	0.0231554630496	0.0205664007134	0.0129811254812	0.0412817952297	0.104426554201	0.114278888524	0.097964160652	0.461382322748	0.016916682325	0.0906191152057	2.19931538771e-05	0.00299775492495	0.00752218667961	0.00588559789493
a18	0.0198570430165	0.0186402645711	0.0122178011604	0.0406710600766	0.116587634734	0.134722452841	0.106990045217	0.452227887583	0.0137605384417	0.0708151584019	2.32175706257e-05	0.00248579824165	0.0054991384932	0.00550202299831
