 	siete	cucinato	</S>
a20	0.5412689	0.218677947	0.24005322675
a31	0.821826916667	0.095477667	0.0826954542167
a18	0.918170855556	0.0524449220433	0.0293842530189
a21	0.968875731852	0.0197309090578	0.011393427353
a37	0.985831890617	0.0088220552426	0.00534609941767
a21	0.987495563539	0.0080359178042	0.00446853857256
a31	0.931467754513	0.0370611984347	0.0314710635242
a18	0.819188884838	0.0735810728116	0.107230024508
a31	0.624768508279	0.104594667604	0.270636778169
</S>	0.49122487414	0.124955438802	0.383819639085
