 	il	muro	vuole	uno	specchio	</S>
a46	0.180850947	0.055703845	0.32506609	0.071895125	0.0597599875	0.30672395
a31	0.301642745667	0.0236463316667	0.36422139	0.146529875	0.0550612775	0.1088983141
a24	0.384061921889	0.0094636914789	0.176498204867	0.223273385	0.0863133558333	0.120389405467
a37	0.279921743963	0.0032843350663	0.102274353156	0.222436381667	0.209110125278	0.182973038489
a18	0.130276635321	0.00130866192543	0.0834438687187	0.159880720556	0.371714915093	0.253375176163
a20	0.240540405774	0.00450868456181	0.0393519902396	0.083164522852	0.339961751698	0.292472665388
a41	0.478649921925	0.0070061625206	0.0241126844132	0.064513740284	0.201737197233	0.223980321796
a31	0.649439597308	0.00562659940687	0.0167246940377	0.0758588800947	0.106198855078	0.146151377265
a11	0.695444189103	0.0339285300356	0.0292596325792	0.0748044333649	0.051343546026	0.115219652422
a31	0.473111596368	0.0888440700119	0.0615244355264	0.088674414455	0.073616760342	0.214228704141
</S>	0.300435148184	0.115195875006	0.0755852197632	0.103179447227	0.103379520171	0.30222477707
