 	non	ho	dove	d'	andare	</S>
a20	0.1158558475	0.4863714825	0.0182849625	0.292737868335	0.022064078	0.0646856925
a31	0.0934276275	0.600384240833	0.0110458747	0.097792526934	0.171466524667	0.0258831408333
a37	0.1488740925	0.388979283611	0.0051578424	0.0326190318077	0.264423848222	0.159945885278
a31	0.158993045833	0.271887571204	0.00282970819	0.0110000482432	0.348693056074	0.206596593426
a29	0.118031243611	0.419024153735	0.00398459248667	0.00566875169107	0.338415579691	0.114875722809
a41	0.0791443662037	0.700951171245	0.00606958332889	0.00379448992502	0.124592725464	0.085447638603
a31	0.0715140670679	0.833957533748	0.00485002184296	0.00398539946967	0.048620748388	0.037072179201
a18	0.0645868800226	0.867754591249	0.00907631484765	0.00423223683656	0.0354437414627	0.0189062299003
a31	0.0909916076742	0.685632660416	0.0184260272825	0.102247476959	0.0618003004876	0.0409019348001
a39	0.112692913891	0.494636670139	0.0173489972608	0.141072895653	0.149415696829	0.0848328482667
a31	0.084397169297	0.352075128713	0.0262887369203	0.224694665218	0.21348675561	0.0990575894222
a8	0.124785023099	0.194846791571	0.0633292456401	0.302433921739	0.201111265203	0.113493766474
a31	0.132008015366	0.14113753119	0.0760744375467	0.384056257246	0.161743925068	0.104979836825
a8	0.117870982789	0.115106674397	0.0957909115156	0.411836975749	0.149329481689	0.110064986942
</S>	0.141142566395	0.138469547198	0.125699500758	0.291108322875	0.165015980845	0.138564088471
