 	vogliono	girate	</S>
a31	0.23297628065	0.665059885	0.1019638435
a20	0.09957209065	0.851757078333	0.0486708425
a31	0.18149954355	0.789949476111	0.0285509678333
a18	0.189741530517	0.701592692037	0.108665750611
a46	0.0679621581723	0.778871064012	0.15316677187
a31	0.0743762247241	0.823102938004	0.102520845623
a3	0.087715514908	0.822212196001	0.090072283541
a10	0.109078014969	0.747762852	0.14315911618
a39	0.12099986599	0.498281860667	0.380718258727
</S>	0.088195134495	0.356336465333	0.555468379364
