 	aveva	lavorato	tutta	la	settimana	</S>
a31	0.067381587	0.0465516455	0.406193912	0.035033677	0.1551255385	0.2897136498
a20	0.0466348233333	0.145572877167	0.609484037333	0.0493588486667	0.0518835959713	0.0970658442
a31	0.248769397444	0.197102635722	0.442870469111	0.0578630108889	0.0173051253094	0.0360893971333
a28	0.385561785815	0.211967995241	0.30298234637	0.0654348702963	0.00579694120647	0.0282560537111
a31	0.431272671938	0.244385631747	0.236674206457	0.0496698100988	0.00196481677949	0.0360327785704
a13	0.497870533979	0.309786017249	0.127390876486	0.0278403886996	0.000689390921497	0.0364227151901
a18	0.38421099466	0.467061719083	0.0975858404953	0.0229879735665	0.000322405507166	0.0278310200634
a31	0.246596941553	0.604412163028	0.0666510884984	0.0300311431888	0.00226533282906	0.0500432750211
a27	0.120013712851	0.657567554343	0.0615269661661	0.0809506777296	0.00944173694302	0.070499279007
a31	0.0836612279503	0.503405214781	0.0660596963887	0.118065887577	0.071237889981	0.157570042002
a20	0.0803513506501	0.265316724927	0.0619409587962	0.133056514192	0.197243449994	0.262091014001
a31	0.11365815355	0.157668614976	0.0708020485987	0.169912568064	0.261942949998	0.226015681334
a39	0.14468191785	0.137663054992	0.0964813861996	0.178397792688	0.238778723333	0.203997137111
a31	0.162276752617	0.134323711664	0.1132114654	0.174458254229	0.215075034444	0.200654809037
a33	0.151331659539	0.116020453888	0.101578135133	0.159776114743	0.216548194815	0.254745469679
</S>	0.113926587769	0.096776961944	0.0888811125665	0.141059367371	0.223251992407	0.33610399984
