 	se	vieni	ogni	giorno	a	casa	mia	compra	il	pane	</S>
a31	0.0343925195	0.042745307	0.010691257	0.00559014355	0.00561293515	0.01111590265	0.03678398625	0.064530621	0.181083265	0.24715342	0.360300592
a37	0.114204025167	0.049552648	0.00963544086667	0.01814546185	0.0744464847167	0.00404530500267	0.101434985417	0.091191509	0.165673997333	0.24375028	0.127919821567
a31	0.128953772389	0.0348536063333	0.00530248632222	0.02128274835	0.0960090285722	0.00136280348189	0.109749170472	0.138078079667	0.0983171947777	0.294310166667	0.071780952089
a20	0.075323161463	0.0244450331111	0.00729057494074	0.0545102921833	0.0653498265241	0.00047435295563	0.0555193854907	0.238448159889	0.112232098259	0.309314167222	0.0570929356963
a31	0.0673622671543	0.14109784737	0.0425836536469	0.152117950728	0.073507505508	0.000192109038543	0.0290587956302	0.204487905296	0.109816466086	0.150851840407	0.0289236325654
a20	0.0521276543848	0.20429276579	0.063297874549	0.208438600243	0.0595077185027	9.69755388477e-05	0.0161403093434	0.122835760432	0.139019915362	0.113642206469	0.0206002518551
a31	0.0581614581283	0.287912548597	0.0406721738497	0.178083726748	0.0512286195009	0.000158689195616	0.0117992714478	0.0887018558107	0.152797806787	0.10583053549	0.0246533519517
a11	0.0587706857094	0.392909382866	0.0278071319499	0.157974775583	0.0480429498336	0.000182764413539	0.00930419314927	0.0576193309369	0.159054783929	0.0633673084967	0.0249667376506
a31	0.0416045645698	0.332693410955	0.01906394465	0.124326531861	0.0381433396112	0.000232925562846	0.0126903263831	0.0558159236456	0.26105137131	0.0820540961656	0.0323236315502
a20	0.0351415915233	0.315064953652	0.01063898935	0.0637560676203	0.0240151047037	0.000358773580949	0.012826845461	0.0580284812152	0.302885430437	0.119216675389	0.0580671371834
a31	0.0288710651744	0.287344091217	0.0134849605833	0.0482479668734	0.0242501977346	0.00300462996698	0.020923332487	0.0663261750717	0.238988323479	0.19547720513	0.0730820757278
a29	0.0226519337248	0.208283973739	0.0216425021944	0.0494387429578	0.0312447559115	0.00641166132233	0.0239427033623	0.0854125130239	0.18537918116	0.24674721171	0.118844805243
a46	0.0229584265749	0.134242917913	0.0390663707315	0.0579805943193	0.0508729576372	0.0146989057741	0.0140652783208	0.0860078016746	0.151767297053	0.196806789237	0.231532641748
a18	0.0227432151916	0.081597846971	0.0666081189105	0.0849796981064	0.128227499212	0.027444381258	0.0180051294403	0.0630218155582	0.101598472351	0.127407281746	0.278366537249
a31	0.0392221537305	0.0937633633237	0.0961801749702	0.116541082702	0.167313769737	0.0479894747527	0.0209907251468	0.0551811355194	0.0727429374503	0.0788128112487	0.21126237575
a28	0.0455119339102	0.113479337775	0.114220811657	0.128115816234	0.154513333246	0.0585253149176	0.0179959490489	0.0406311735065	0.0653171491501	0.0759300010829	0.18575920525
a20	0.0344022093034	0.0913871092583	0.111651420552	0.121767008745	0.168001324415	0.0513541603059	0.0236450610163	0.0358196958355	0.05631747805	0.091975360361	0.21367919175
a41	0.0294899484345	0.0728579330861	0.110757910184	0.132604784248	0.229728634805	0.0446212447686	0.0304685723388	0.0409268729452	0.0455032406833	0.078286805787	0.18475405725
a28	0.0217175838115	0.0680457830287	0.117398686728	0.161227461416	0.321734108268	0.0357072389229	0.0310957887796	0.0434252753151	0.0300483382278	0.0506674162623	0.11893232775
a8	0.0218222709372	0.0717407396762	0.115819798909	0.163243410472	0.334481816089	0.0318438963076	0.0327009462599	0.0471530974384	0.0270518224093	0.0477156607541	0.10642652125
a23	0.0269708676457	0.0695126465587	0.0995150596363	0.129525346824	0.253717828696	0.0337014294359	0.03350698242	0.0470737591461	0.0383635714698	0.081002576918	0.18710991375
a31	0.0345633082152	0.0678205421862	0.0964278965454	0.121104462275	0.219858332899	0.0411314384786	0.0423623844733	0.0527858917154	0.0474089681566	0.088639107306	0.187897697917
a39	0.0422823950717	0.0762433540621	0.109608708848	0.133352850758	0.230394800966	0.0500849628262	0.0498040614911	0.0572937225718	0.0488272233855	0.0721758557687	0.129932082639
a20	0.0455947203572	0.0769479746874	0.103962396283	0.116618453586	0.187155346989	0.0523777866087	0.046875568497	0.0526008598573	0.0543717467952	0.0880447685896	0.175450364213
a39	0.0505611354524	0.0748402448958	0.096222808761	0.108145107862	0.164938908996	0.0553055812029	0.0530697611657	0.0583509122858	0.0606426722651	0.0944598558632	0.183463034738
a8	0.0566004444841	0.0786552999653	0.0992741529203	0.111612419287	0.165158816332	0.0610284570676	0.0600266860552	0.0647009624286	0.0636991174217	0.0876293332877	0.151614354913
a31	0.0581606021614	0.0793452649884	0.100607664307	0.119585209762	0.174760662111	0.0620173690225	0.0656541980184	0.0697685958095	0.0642243708072	0.0806253424292	0.125250741638
a28	0.0598058987205	0.0820017149961	0.102649781436	0.124752798254	0.182098614037	0.0621670663408	0.0677862063395	0.0717176686032	0.0638736486024	0.0757089054764	0.107437733879
a20	0.0628201895735	0.0816552599987	0.0968051104787	0.107603875751	0.147716528012	0.0644309654469	0.0639380537798	0.0670879928677	0.0688691245341	0.0905442731588	0.148528661293
a8	0.0668381398578	0.0786833549996	0.0885100888262	0.0943414115837	0.117590056004	0.068206625149	0.0672304012599	0.0696526326226	0.0760094798447	0.101659449053	0.171278397098
a23	0.0699651099526	0.0784453216665	0.0857178949421	0.0896568621946	0.105464962001	0.0711942800497	0.0703369437533	0.0723941492075	0.0796729832816	0.104586938018	0.172564609033
a8	0.0715585133175	0.0782870472222	0.0840981216474	0.0867752590649	0.0987816893337	0.0726510770166	0.0716484579178	0.0734954264025	0.0814773360939	0.106500764339	0.174726319678
</S>	0.0734445266588	0.0792733436111	0.0841065158237	0.0869120920324	0.0973514726669	0.0742020365083	0.0738498439589	0.0756449432012	0.082666210547	0.105379217169	0.167169769839
