 	viene	fabbricato	</S>
a31	0.574139175	0.227727951	0.1981328835
a24	0.823271838333	0.081743155	0.0949850288333
a31	0.912550526111	0.0320856716667	0.0553638037444
a18	0.762892308704	0.0157645128889	0.221343163381
a31	0.669325469568	0.0377222006296	0.292952305127
a37	0.685862623189	0.0940975835432	0.220039789042
a31	0.534189334396	0.249720794514	0.216089886347
a20	0.596459551465	0.284681189838	0.118859235449
a41	0.662199350488	0.248259108279	0.0895415118163
a31	0.632100650163	0.25684396276	0.111055383939
a35	0.561800363388	0.265459377587	0.172740274646
</S>	0.451955381694	0.318450163793	0.229594487323
