 	i	bambini	non	lo	possiamo	non	possono	mangiare	il	gelato	prima	che	mangiano	</S>
a20	0.00884223725	0.00268950886	0.00287084805	0.0134208502	0.023883473	0.13695108875	0.018001735	0.05102968785	0.0055769185	0.0823262457	0.03340303875	0.139574119	0.20957194	0.271858310285
a31	0.00479401199667	0.0009465982329	0.00189871807	0.0127845899	0.0271930016667	0.137962750917	0.0143118244	0.05071049895	0.0263848185	0.252818525233	0.0981857540833	0.0895286976667	0.184211155	0.0982690176183
a10	0.00340609707889	0.000316925540807	0.000732431803333	0.0056739622	0.0209771522222	0.090697591639	0.00512448723333	0.02004066865	0.0469257921667	0.412823388411	0.193506721361	0.0723002278889	0.0870638566667	0.0404106753561
a17	0.00496606055963	0.000112896759542	0.0487174199278	0.103539715467	0.129602992741	0.123589440546	0.00612154111111	0.00997922121667	0.0344504557222	0.295992185137	0.14404724212	0.0437369798963	0.0405237278889	0.014620133702
a20	0.00783991921988	4.59937085473e-05	0.0749048786426	0.312601401822	0.239027324247	0.125391676849	0.00978989637037	0.00906387173889	0.0162203607407	0.101099464046	0.0511353697067	0.0203226225654	0.024427385963	0.008129839334
a31	0.00762720180663	1.68280106824e-05	0.0352433275542	0.284896902607	0.164101058749	0.080300937283	0.00751325589012	0.0120844075796	0.0123737110802	0.0434148100153	0.0349767392356	0.254639096188	0.055979356321	0.00683236751133
a0	0.00411291116888	7.42046369413e-06	0.0119836786681	0.103735275202	0.0603633518163	0.0389108084277	0.00584969539671	0.0159044238599	0.0122380003601	0.0269730596718	0.0366638880785	0.590414088729	0.0861229354403	0.00672045323711
a7	0.00498735072296	8.88708456471e-06	0.0047816198327	0.0587420284007	0.0315603881721	0.0333937911426	0.0079410677989	0.03709809462	0.01604417012	0.0179113208906	0.0243084450262	0.58721640291	0.14428126848	0.0317251357457
a20	0.00566634524099	1.26080415216e-05	0.00235249778423	0.0402070264669	0.0204206497907	0.0268678948475	0.00694662429963	0.0527099538733	0.0187864043733	0.0155835762969	0.0147093780087	0.50347928097	0.246564122827	0.0456936045819
a23	0.003906419147	1.64555111739e-05	0.000973257444743	0.015301834689	0.0074460348069	0.0116617646492	0.00400632726654	0.0366517056244	0.0154643144578	0.0156533264323	0.0205932710029	0.526966913657	0.317580810942	0.0237775175606
