 	devo	pulire	l'	albero	</S>
a39	0.17835020382	0.06207863978	0.03028995521	0.510608134	0.218673021
a31	0.181732230487	0.02366604978	0.0359023005433	0.584070671333	0.174628754333
a35	0.183370579496	0.0112074794933	0.0404411885144	0.606184140444	0.158796643511
a31	0.064168944932	0.00880483139777	0.0322184145048	0.840128580148	0.054679245637
a20	0.027635609744	0.0102092597993	0.0376152588349	0.897359806716	0.027180069279
a31	0.0296929245813	0.0176627095998	0.126185033612	0.788316515572	0.0381428167597
a37	0.0313147971938	0.0188622183666	0.146228915537	0.769442638524	0.0341514505866
a1	0.0192726517313	0.0115174589555	0.052575885379	0.902724446175	0.0139095638622
a20	0.0104548637538	0.0085378225185	0.0201314688197	0.953877348725	0.00699846665407
a31	0.0096476430946	0.0126941270395	0.0479253240999	0.878995539575	0.050737346918
a39	0.0098147631982	0.0138031152798	0.0572456140333	0.846891423192	0.072245068306
a10	0.00396426311607	0.0094542590266	0.0286940043444	0.922244227731	0.035643203102
a29	0.00221405105536	0.0121103510089	0.0354539901148	0.92791277591	0.0223088097007
a46	0.00653500948512	0.023860267003	0.108305208372	0.80145071197	0.0598488042336
a31	0.015042638495	0.047621784001	0.240815112791	0.612630057323	0.0838904130779
a20	0.0317606278317	0.068075054667	0.32161499093	0.405663849108	0.172885502693
a13	0.0469127776106	0.079767554889	0.366123406977	0.235568313036	0.271627967564
a20	0.0494703275369	0.080716886963	0.381478235659	0.181474737679	0.306859815855
a31	0.0755269358456	0.107452004321	0.36427916522	0.165770405893	0.286971458618
a11	0.103682068615	0.146125774774	0.379848485073	0.159270255298	0.211073379539
a17	0.105880446205	0.151495831591	0.371002138358	0.141149178433	0.230472386513
a20	0.114207045402	0.147574697197	0.298527722786	0.135053839478	0.304636675504
</S>	0.122462442701	0.146799998599	0.252677526393	0.133945739739	0.344114267752
