 	l'	ho	sentito	quando	veniva	</S>
a31	0.2530157515	0.1191443235	0.0729924885	0.2655886355	0.15677345	0.1324853532
a46	0.150910238167	0.126180766833	0.1934084095	0.3376179385	0.1462076965	0.0456749621677
a41	0.137261176056	0.197457388944	0.3142115965	0.260175822833	0.0612700496667	0.0296239450236
a31	0.161201312019	0.316188599648	0.303175848833	0.162258305278	0.0328458324889	0.0243300549345
a24	0.15374698734	0.361950396549	0.399003256278	0.0648950850927	0.0114247413963	0.00897947463817
a31	0.251312849113	0.321561762183	0.359858545759	0.0519891840309	0.00817082276543	0.00710678827939
a15	0.280159342371	0.245718307394	0.14522738892	0.284948601344	0.0162946092551	0.0276517277598
a46	0.143108600124	0.214662399131	0.0780654729733	0.455222493781	0.0301237934184	0.0788172459199
a31	0.217927223375	0.28482717971	0.0526381576578	0.299924327927	0.0378878131395	0.106795295307
a0	0.316258651125	0.347816289903	0.0481637368859	0.146515951642	0.0368505000465	0.104394820436
a41	0.288965547042	0.351466246634	0.055270047962	0.0889073928807	0.0520374223488	0.163353292145
</S>	0.248134878521	0.312621773317	0.068796780981	0.0816611014403	0.0681437311744	0.220641696073
