 	l'	ha	scritta	</S>
a20	0.373029855	0.223471645	0.1761418315	0.2273567066
a31	0.628912298333	0.225750765	0.0668476295	0.0784892949
a35	0.523472869444	0.152276891667	0.0472397028333	0.2770104966
a31	0.530567113148	0.0899077105557	0.0364626483778	0.34306250999
a35	0.539597217716	0.169539263519	0.0919401152259	0.19892338112
a31	0.419944499239	0.274133644506	0.138767481742	0.167154335373
a41	0.421329269746	0.304168078169	0.162449077247	0.112053538458
a31	0.454723549915	0.272984317723	0.162508199749	0.109783924486
a11	0.482018326638	0.191691980908	0.12583847725	0.200451214829
a18	0.318319795546	0.155795536969	0.127716117083	0.39816855161
a13	0.184692859515	0.0941486066563	0.130365490361	0.590793070537
</S>	0.108033871257	0.0648176448282	0.144662550181	0.682485965269
