 	io	non	so	cosa	è	da	scrivere	</S>
a48	0.2116175786	0.00772029698	0.01556445912	0.019064944399	0.02887195776	0.104580706517	0.47507838022	0.137501706748
a31	0.229803146406	0.12499609938	0.022073345532	0.0627592746215	0.258240858299	0.173254346775	0.121171198852	0.0077017500928
a14	0.218286960038	0.0421149862648	0.34083887415	0.099737670816	0.085517042482	0.209018831483	0.0037022580856	0.0007833713856
a37	0.344171617767	0.0779599644768	0.106524517269	0.0406272312816	0.218003172924	0.197965986798	0.009805491358	0.0049420134438
a10	0.279129538	0.07229397	0.04731752864	0.0947478943154	0.218728600672	0.122763554775	0.046743193688	0.11827568972
a31	0.372314728	0.17372780454	0.08575496412	0.0716635605502	0.075034693046	0.0318150601106	0.13615359002	0.05353560994
a28	0.4976786968	0.14815808748	0.0804781288	0.06959571439	0.06771521428	0.059314558816	0.0465920448	0.03046760076
a31	0.27713978	0.1264131195	0.14373765432	0.0706162979644	0.08293562683	0.128903535752	0.0693284539	0.100925496468
a42	0.3132983902	0.0483302741	0.0286978978	0.0330100042132	0.0624980985	0.171454119748	0.1631975228	0.17951370792
a23	0.264522098	0.0707380148	0.1010528278	0.123595979438	0.12632809738	0.121579581324	0.1334795306	0.05870386544
a8	0.322371236	0.1134985044	0.0531353441	0.053636796904	0.06095652594	0.130958492657	0.1186002522	0.14684281782
</S>	0.31690952	0.0811079111	0.08678204134	0.075940506672	0.078022178	0.10198967264	0.1022027446	0.1570454303
