 	li	vestono	i	genitori	</S>
a31	0.18586439812	0.0884369888	0.2184363808	0.1881591748	0.31910305052
a46	0.0426562118817	0.367733189381	0.321117992834	0.177859355428	0.090633245122
a18	0.038358942008	0.285555060064	0.380919725826	0.210277474902	0.084888800306
a35	0.081672819048	0.29517499764	0.3982423188	0.16292088008	0.0619890108
a15	0.111671004764	0.3789170612	0.2773234264	0.186953773354	0.04513478416
a39	0.2241913088	0.3178588858	0.2394016414	0.162425144436	0.056123015074
a31	0.19132170896	0.303991643	0.2756062568	0.10412109918	0.12495929228
a11	0.1188548748	0.3527918409	0.2837339452	0.1634343538	0.081185001
a20	0.1267063975	0.24139949124	0.2854140168	0.1511207661	0.1953593118
a31	0.1594441463	0.189240906	0.2988983228	0.114001466	0.238415163
a39	0.14610885988	0.2233189669	0.282953234	0.1204293776	0.22718953212
a20	0.124554571066	0.21318350544	0.341168882	0.0917059548	0.2293870974
a46	0.15585593156	0.1393893078	0.310343378	0.12543407	0.2689773422
a31	0.17390335932	0.15388699392	0.3244601548	0.1243150754	0.2234344194
a15	0.16715628754	0.1379184463	0.309233678	0.12373878168	0.261952822654
a24	0.10756191648	0.201695905	0.37222501	0.1322702888	0.1862468596
a20	0.15933846644	0.14686628726	0.352644226	0.1288542374	0.2122967818
a31	0.2001718536	0.153033412	0.320479922	0.13610781	0.1902070008
a13	0.1798002234	0.1613412438	0.35513535	0.1053905794	0.19833259772
a46	0.1559229059	0.1709638636	0.339983222	0.1430783456	0.190051652
a14	0.1682849256	0.1633085196	0.324689578	0.1649220478	0.178794944
a20	0.148506224	0.1518800092	0.32996877	0.1632899266	0.2063550316
a31	0.1572420316	0.1585587984	0.331597268	0.1471857488	0.2054161264
</S>	0.18268578	0.182491543	0.34574047	0.1069696754	0.1821125584
