 	vuole	bianco	</S>
a20	0.3212332	0.37597253334	0.3027942472
a31	0.44455270612	0.458427039326	0.097020264
a11	0.45768373376	0.498797133249	0.043519126006
a31	0.2560288032	0.519434815	0.22453635012
a39	0.5067037886	0.33724808304	0.1560481238
a20	0.1608692044	0.4970900015	0.3420408102
a31	0.267556323	0.49464335528	0.2378003172
a39	0.327365916	0.471228128	0.2014059508
a46	0.3045671224	0.559692194	0.135740694
a24	0.427212158	0.419301108	0.153486726
a46	0.4342414168	0.377779104	0.1879794718
</S>	0.4342200974	0.326448846	0.239331056
