 	allora	questo	anno	che	viene	vengo	nuovamente	qui	e	mangio	molti	pasticciotti	</S>
a18	0.075951479	0.1222107394	0.0910583932	0.06149652928	0.0325614438	0.051911814	0.03216541508	0.02153816232	0.03737275818	0.037078882352	0.13726637342	0.095863010554	0.20352496786
a20	0.030639039948	0.0815237571701	0.170303767078	0.024271438246	0.026553336774	0.06587100524	0.243068597163	0.0132361757364	0.02797806925	0.0661349809992	0.026839512668	0.022772400136	0.20080792508
a31	0.0678672334	0.101005060601	0.11126743686	0.1015288284	0.037152979626	0.05807734296	0.17750673056	0.01054358254	0.024004905528	0.0892435847675	0.1315312162	0.03812893371	0.05214220829
a24	0.07822446814	0.0286491428954	0.15172294552	0.0941790773	0.06868623834	0.1469729948	0.126108391762	0.0127060516584	0.022570037592	0.093450424634	0.07560735766	0.04954785708	0.051575010954
a31	0.0835756772	0.0392779659	0.03438232612	0.039911773	0.0368149096	0.23158074	0.1119782277	0.0153338514876	0.06783038894	0.09051299872	0.11244172568	0.047879731268	0.0884796634746
a7	0.0487781873	0.0710264501308	0.028980512432	0.0483058714	0.038271057486	0.20718235368	0.1548992828	0.0226215404896	0.0736695138	0.0337797314	0.0981830134	0.06028769072	0.114014794208
a20	0.0780045262	0.0533652362084	0.046611386542	0.0620986278	0.05705000094	0.114317258	0.15763772168	0.0340826777408	0.0536833738	0.05725605326	0.089345684	0.04260919001	0.153938237883
a39	0.149658891	0.0861141515	0.06960036854	0.0615639304	0.0614730566	0.089612749	0.09069233418	0.0178261238334	0.0591026262	0.06883676772	0.0862416248	0.04353405898	0.115743327782
a31	0.0951403214	0.1254423749	0.08558902958	0.1069410668	0.0982434538	0.0677980654	0.0611390957	0.016793060864	0.05240890522	0.0554228692	0.0717186528	0.071278180562	0.092084940726
a46	0.189819759	0.1328046656	0.0830405548	0.0633963378	0.0408851416	0.1111183516	0.08381317612	0.0206485062268	0.110753670644	0.02993779096	0.0541075166	0.05214687078	0.027527641242
a31	0.16003847524	0.075878405	0.0723074624	0.11931528534	0.056605338	0.06049768	0.1103607368	0.020629081416	0.067940464646	0.0404053908	0.09206271	0.05042817778	0.07353077338
a17	0.1523407244	0.0761457394	0.0537210062	0.105379966	0.0714231548	0.1406185	0.0814341228	0.02133621286	0.11348743228	0.04519261014	0.04473723014	0.066344199	0.0278390799
a20	0.08927294458	0.06027309006	0.08249306054	0.1196428732	0.05155736936	0.0683310436	0.1287019197	0.01895056708	0.09749524484	0.03371857198	0.13447647284	0.054596772836	0.06049009006
a17	0.167014530492	0.0631959272	0.0646454202	0.1752815548	0.08604686904	0.07827922	0.11142118272	0.017694093364	0.08465648502	0.0274103964	0.05400805512	0.04870938782	0.02163688426
a31	0.1076695483	0.0751059722	0.07046197508	0.15276072166	0.0611090117	0.0636679022	0.1376767112	0.01803438284	0.06204581214	0.0194070442	0.1444270912	0.05399389276	0.033639892124
a5	0.092944772	0.1356345784	0.0861875534	0.0799005403	0.1170598821	0.0920589138	0.080550605	0.024781853	0.0644767312	0.0850647454	0.0545170472	0.06536562436	0.02145715708
a35	0.1176241558	0.0961578336	0.1307305618	0.09039038268	0.093051442	0.0767064064	0.09283596512	0.01536142402	0.02543016122	0.0596995384	0.0482316528	0.05947275436	0.094307712
a15	0.13645798262	0.108267587	0.12549887674	0.0905370802	0.0465734144	0.0404780166	0.10610079048	0.02476252954	0.02720226692	0.0288083764	0.1390899658	0.0810015506	0.0452215872
a24	0.18190587004	0.1563535706	0.130306028	0.09873544952	0.06496726468	0.058741558	0.0796301363	0.021665809766	0.0272811741	0.032268957	0.0795397859	0.05125542074	0.01734893838
a7	0.09482209988	0.1482666926	0.0991551392	0.05169646628	0.08804200566	0.1001346228	0.1076883696	0.01920618062	0.03104473174	0.0496616308	0.066054458	0.07755842966	0.066669157352
a31	0.0941690302	0.1453066096	0.1126243744	0.048053348	0.0851010266	0.1007392926	0.1078977846	0.02083791234	0.03059362328	0.037587585	0.0597148046	0.1092864705	0.04808816062
a11	0.1012535412	0.1444601126	0.1340297456	0.0272076487	0.080512181	0.0731027663	0.07222509736	0.03002983512	0.0454674062	0.0811846878	0.0578669396	0.11219758752	0.04046246858
a31	0.0861139552	0.160950748	0.1052120632	0.051793382	0.064065132	0.1137178256	0.080882536	0.0232495752	0.0291821386	0.0444570196	0.05650093	0.14526243686	0.03861225732
a39	0.13044895706	0.1184689826	0.0903704836	0.0343378092	0.08751372892	0.0704531218	0.0486775625	0.0429199998	0.0520773068	0.0609592262	0.06848738364	0.1160335502	0.079251902
a18	0.0965834712	0.162521863	0.0803469012	0.0658334428	0.0393260074	0.0855285862	0.048797895	0.02490563708	0.0353184922	0.0440146256	0.0888793734	0.1694087432	0.0585349718
a20	0.0842626946	0.1809665172	0.097737368	0.0360520364	0.088897162	0.112254149	0.0733390124	0.0285389034	0.0338095494	0.0402920272	0.0406041604	0.1319082754	0.05133815332
a31	0.0841916714	0.158568877	0.080973488	0.0364373629	0.0896890778	0.0985449728	0.0572796676	0.0317472888	0.0403734952	0.0437457976	0.0512982658	0.1513857368	0.07576430636
a18	0.0987936868	0.099509665	0.0773121506	0.03487037048	0.0689637072	0.073524187	0.05086201906	0.0421234654	0.0449348306	0.0687810538	0.0523884152	0.196020824	0.09191565224
a24	0.06428059126	0.1701851252	0.0893846762	0.04197720074	0.0484935222	0.116655677	0.0437578	0.022834257	0.02826350754	0.0448616578	0.0487853814	0.1980780793	0.08244253322
a31	0.0694481818	0.1364284828	0.0889931314	0.03452549458	0.0720279706	0.1045676094	0.0522520651	0.0329438492	0.0357363856	0.0448883178	0.0451631586	0.2011734548	0.0818518818
a18	0.0670688966	0.070543985	0.08650464088	0.04860838022	0.0678508082	0.0747837014	0.04645977986	0.0509201459	0.0420060128	0.0685951134	0.0518350552	0.2039574524	0.1208660219
a31	0.0514887856	0.1028893468	0.0945871536	0.0402196526	0.0516726551	0.1031365788	0.0404197098	0.0283510664	0.0281249479	0.0520601368	0.052989453	0.2318092628	0.12225126752
a17	0.08987128966	0.0556469442	0.09111747548	0.049457653	0.06752690634	0.086948733	0.04308612978	0.0419264176	0.032182708	0.0562746412	0.0525729692	0.2363384438	0.09704970556
a8	0.0666663	0.0701198838	0.0773766351	0.0499768563	0.05113221976	0.0856466286	0.04596558192	0.0317995316	0.03241784596	0.06334417166	0.0490729466	0.2471455996	0.1293357888
a28	0.06445496706	0.098483563	0.0828309094	0.05407379942	0.06827189232	0.0845433434	0.05501620308	0.0404051214	0.0417149466	0.0647317772	0.0404812577	0.216246703	0.08874553122
a24	0.0576778908	0.1222045248	0.0953116972	0.0397272222	0.070660666	0.1217090892	0.058617043	0.0386341318	0.041293102	0.072918099	0.052763175	0.166340313	0.06214302692
a23	0.0683545676	0.1220301072	0.0859802866	0.0354902657	0.0657700738	0.10895931	0.05084716332	0.034203524	0.0367776213	0.0542955544	0.03972229	0.2125674312	0.08500182094
a8	0.07977149868	0.1114446394	0.0814238568	0.0422039315	0.0614903354	0.0840630714	0.0438591445	0.034758451	0.035391743	0.0516810354	0.037917838	0.2380061594	0.09798827268
a31	0.07830750396	0.125935958	0.0804067068	0.04042828192	0.0624242796	0.1123638842	0.05992904464	0.036336476	0.0389065586	0.0622261544	0.0326418956	0.1973453746	0.07274789966
</S>	0.08746861426	0.0656992614	0.0594086541	0.03589002288	0.0455713517	0.0754171188	0.0462363377	0.0515583634	0.0558790052	0.0861020768	0.0532908846	0.26135277	0.07612556068
