 	vuole	andare	a	Lecce	</S>
a20	0.11927672628	0.201421805738	0.1872735834	0.3064921176	0.18553578054
a31	0.26725681794	0.34258316	0.1599630922	0.1166021104	0.1135948281
a18	0.269779200754	0.3856732966	0.2155619598	0.116546445087	0.0124391100833
a46	0.04233157954	0.24802441418	0.19377170934	0.433312221628	0.082560095
a37	0.0173207934	0.2326943512	0.3405320068	0.3797825796	0.02967031934
a23	0.09853284314	0.0816854283	0.21437455086	0.531413623	0.07399356444
a18	0.1929439164	0.23614534996	0.2224818088	0.2814493206	0.0669795978
a38	0.1214065876	0.0509192671	0.174719658	0.523539516	0.1294150226
a37	0.11457085292	0.0388069125	0.1869360791	0.469900726	0.1897854496
a31	0.1824089584	0.0664830418	0.201574904	0.300517664	0.2490154144
a20	0.1370783302	0.2024186188	0.2586444308	0.213172798	0.1886857956
</S>	0.19082308792	0.1216304996	0.2006337332	0.227557726	0.259354946
