 	ho	scritto	una	lettera	al	mio	fratello	</S>
a10	0.2542738986	0.19913816174	0.01452720342	0.081958028	0.04804766	0.1001229722	0.13173245708	0.17019963244
a31	0.1031402562	0.1851219486	0.20389886308	0.03951838874	0.20208100702	0.1529779364	0.0519795082226	0.06128210408
a37	0.14403330682	0.155418180046	0.288213986892	0.121431667	0.17122022136	0.068200523471	0.04886528324	0.00261681554974
a31	0.0565653468	0.1100778024	0.20552703361	0.09822510166	0.11093459082	0.23620498995	0.169231057384	0.01323409102
a20	0.1217545004	0.316858685	0.2316484278	0.1205808634	0.0290900768	0.07011277837	0.0989216978304	0.01103294524
a31	0.0558382465	0.1141418086	0.16871318654	0.1306888304	0.1710892958	0.2392085604	0.074960137106	0.045359895594
a20	0.0985993648	0.261284474	0.1208582726	0.0529751164	0.160519955	0.1424660818	0.091262731492	0.0720339915
a13	0.05117281086	0.120385431	0.07769668486	0.05732714452	0.1419207046	0.35256608	0.1100478498	0.0888833335
a20	0.077048267	0.2327208948	0.10579616626	0.0451338308	0.12264628964	0.2599957358	0.078567693512	0.07809114316
a24	0.0611987741	0.132775814	0.06027995234	0.0528069502	0.1594965574	0.2892856248	0.11127729086	0.1328790326
a31	0.0922460644	0.1117631456	0.06461826594	0.0471710727	0.1003947186	0.2481902008	0.1686445706	0.1669719753
a0	0.0912116804	0.1184172116	0.0544356907	0.1099391082	0.1419929176	0.218950918	0.1486896394	0.11636285892
a35	0.133692891	0.1360713368	0.0619970862	0.080214833	0.0917210452	0.204927782	0.1340930438	0.157281959
a0	0.0927780986	0.1265621704	0.0763428418	0.1373266526	0.13696618	0.181160712	0.1439428032	0.104920556
a31	0.09621023	0.136020986	0.0572447316	0.1490080968	0.1525153448	0.166972002	0.135753367	0.1062752551
a11	0.053190518	0.0836641764	0.0554481158	0.1322841266	0.2232509972	0.173926092	0.1443712138	0.1338647536
a20	0.126383628	0.125225794	0.0697977158	0.175249622	0.1665679652	0.12130389	0.0999402434	0.1155311616
a41	0.1091621872	0.1210654386	0.0730773472	0.199641841	0.191915426	0.1289417892	0.0891286378	0.0870673698
a10	0.11346274	0.1332276852	0.074658526	0.2010532452	0.191867082	0.1285887524	0.0811941406	0.07594783488
</S>	0.0952890642	0.1198443788	0.070723769	0.198716474	0.180152171	0.10442026	0.0913633366	0.13949053228
