 	il	dito	si	gonfiò	</S>
a39	0.3638137664	0.14614812674	0.1344076206	0.2684634396	0.0871670286
a13	0.30296369897	0.374321425664	0.015750734948	0.16774497616	0.1392191007
a31	0.27316494724	0.222037552504	0.110539665439	0.365406002959	0.028851842776
a20	0.3577740638	0.212941710586	0.058882668546	0.349285575846	0.02111598222
a31	0.2641417846	0.295936724732	0.1117957454	0.26961562807	0.0585101158
a11	0.4452595146	0.163042711	0.08216068096	0.189408701406	0.12012839058
a31	0.3150414826	0.2493860644	0.10115104534	0.24212264453	0.0922987418
a39	0.4151576626	0.21347225416	0.1064528151	0.17205736146	0.09285991692
a31	0.2406196942	0.225954762174	0.1200458824	0.233825334	0.1795543764
a41	0.313182145	0.13785819766	0.1673508396	0.255471141	0.1261376852
a46	0.2168387216	0.15365424224	0.1301122798	0.302051918	0.1973428778
a31	0.1627432304	0.1393956328	0.1385987216	0.32830221	0.230960176
</S>	0.1713399468	0.1001474764	0.186531219	0.321976276	0.2200050806
