 	se	vieni	alle	sette	se	no	non	vieni	più	che	non	mi	ha	</S>
a31	0.0596675726	0.0463774886929	0.03154205282	0.023445061068	0.0315600794	0.1585099524	0.05387040426	0.017443775054	0.008922512092	0.02562466122	0.069632747868	0.134650691256	0.107364795814	0.231388187832
a20	0.00941391516	0.0030983657984	0.008189378186	0.012549855082	0.283293101916	0.11229756306	0.082096764	0.11993003928	0.06940423926	0.2478466654	0.02134037346	0.016531167242	0.01098322755	0.003025383975
a13	0.0423393333017	0.024325144997	0.0166215139503	0.02213207318	0.3231182402	0.3320987929	0.07936655122	0.045486506346	0.0247517748	0.05273216992	0.01758158681	0.013791467932	0.0041620207894	0.0014928392535
a31	0.020431074787	0.0122917087071	0.010026124418	0.02668023568	0.2052413606	0.331069744	0.130388709	0.07518900869	0.05079582882	0.0494441808	0.02830218902	0.03767924748	0.017346330448	0.005114282064
a28	0.00194026201814	0.00124362447272	0.00327971936266	0.007927150726	0.2390729981	0.30498504184	0.071792671	0.02785654086	0.04672522578	0.08629773312	0.03093397602	0.086602160388	0.0851580300988	0.00618486005526
a31	0.0146775549272	0.0117331541631	0.00916943325	0.01057849112	0.1323793318	0.2601813984	0.1052908394	0.181669746864	0.05935415334	0.040520998	0.012269089	0.13474004268	0.01347087812	0.0139648878223
a21	0.010679829166	0.00425339440758	0.006066346394	0.01332101342	0.2498209522	0.244954216	0.096678256	0.065647179524	0.06891452148	0.0315321636	0.0229214305	0.04850241886	0.08174951767	0.0549587566816
a31	0.0230758963498	0.0235558800563	0.01043542702	0.00822477586	0.2314887418	0.2212797866	0.0656062043	0.07747419346	0.07952777246	0.03537445508	0.01125721084	0.1152262106	0.027553428774	0.0699200200132
a20	0.0270423323	0.0200869648187	0.0083798499	0.00878125014	0.0611330574	0.38227441	0.0818375084	0.055032603234	0.0643860167	0.09621684516	0.03086582504	0.0683759118	0.06132456022	0.034262826066
a28	0.02357150381	0.0171347656731	0.01085634756	0.00576997156	0.0761244366	0.4281780868	0.048483485	0.0422323186508	0.07880805582	0.07437736474	0.02249193998	0.0703353824	0.03374612143	0.06789024065
a27	0.0187460765	0.100085715608	0.005256828088	0.002495233926	0.02991090506	0.4377484928	0.0356660354	0.029827473362	0.03276282276	0.0685304048	0.0687668262	0.042154909748	0.068593274678	0.05945501561
a17	0.04170846882	0.110625959058	0.00856057502	0.00500357332	0.031014935	0.3114709432	0.040482874	0.054580076526	0.04917456776	0.11661484784	0.13707976518	0.03286947768	0.042997538122	0.017816345099
a4	0.071695917848	0.102222918835	0.02873364118	0.00615594504	0.017351219006	0.254356569	0.04185905136	0.0264636792012	0.02918211558	0.12740453088	0.178406102808	0.047223662266	0.047287021448	0.0216576220166
a13	0.0830954186	0.0566413343443	0.01086806508	0.01645225898	0.02887399628	0.3494739252	0.02610025368	0.0295465937554	0.03703160468	0.0608945624	0.124711792432	0.069265389908	0.080930155632	0.026114653612
a31	0.05863124498	0.0365700040583	0.02146823606	0.01183989832	0.01614171012	0.2642201096	0.052624965	0.032687855088	0.03549504572	0.11254442364	0.153749479718	0.105047767736	0.070392287364	0.028586953512
a18	0.02988946182	0.0594774771269	0.01362088078	0.00987418036	0.02853448168	0.2428930206	0.0398279148	0.031020674788	0.036116192888	0.09383966156	0.100552945534	0.134187605696	0.126032808392	0.054132671184
a36	0.106443347752	0.0393539361616	0.02335496608	0.02239084976	0.03177663934	0.325262446	0.04091025946	0.0562934191874	0.04921055904	0.09858507958	0.061988780686	0.088048274012	0.042415556058	0.0139658941592
a46	0.12398319082	0.0552903113054	0.043899214052	0.0510355584	0.02958307354	0.2921618894	0.0314934348	0.0256060394654	0.03556175008	0.0617050034	0.06051646008	0.093414066104	0.082164548575	0.013585434764
a31	0.055270852708	0.047543960976	0.037668586754	0.04833590252	0.0386262042	0.2556134062	0.0541458208	0.0521913828738	0.05740875672	0.114231912448	0.067598567004	0.060236604904	0.0764200223834	0.0347079890956
a20	0.04160832872	0.0319848373819	0.0251410943	0.03412411232	0.05903347798	0.2598707922	0.0429967572	0.04665698814	0.043761604724	0.10361669034	0.0608126887468	0.097545476498	0.102711960086	0.0501351837657
a8	0.07614803752	0.0442957314408	0.02998883088	0.03747796482	0.03595864334	0.2697692888	0.0449396464	0.0547034173484	0.0438317444	0.04581027348	0.071497393536	0.114434031296	0.102725375466	0.02841962663
a31	0.07914822625	0.0657457780424	0.052735391874	0.05297022918	0.04528066716	0.2427964704	0.0480521222	0.0454962642676	0.050665280596	0.04954056006	0.0648622285632	0.097624432792	0.0762163762946	0.0288659795404
a24	0.0571167019	0.0367027412359	0.029801145386	0.038624285232	0.0921407959	0.2783210168	0.0382293054	0.0370839074684	0.038885571314	0.047057099204	0.045654801464	0.104744006586	0.0923991289006	0.0632395037161
a46	0.07016721798	0.0631937061872	0.04747614912	0.04520633996	0.0461379182	0.242310474	0.066191358	0.06606533815	0.06807419506	0.05399314684	0.056478501766	0.09411512168	0.056300630674	0.02428988943
</S>	0.0898474928	0.0670054694873	0.04960295692	0.03712093194	0.04356530032	0.2260613426	0.0457904868	0.042922518982	0.04650925736	0.05387172936	0.06835867228	0.11438871852	0.08946739544	0.025487690462
