 	mi	si	gonfiò	il	dito	</S>
a41	0.32005038964	0.2177149432	0.173305107154	0.2088581214	0.03714337808	0.04292805934
a20	0.278808432512	0.082154478664	0.12581019716	0.2617922826	0.21370142628	0.03773316326
a39	0.496700959543	0.015995714636	0.180478972429	0.148923170556	0.148415988848	0.00948513604
a31	0.21330545322	0.09199643322	0.166155932338	0.1736254908	0.26167252318	0.0932441812
a37	0.1449499606	0.08677217006	0.195914750728	0.2748241084	0.22843661048	0.06910241812
a21	0.0783945644	0.02716368826	0.18556240957	0.3404654492	0.25105343234	0.11736044998
a38	0.248931883404	0.03442337424	0.176018005186	0.1430804396	0.26556925584	0.13197706594
a18	0.36984303528	0.0321668868	0.187631638804	0.12300883106	0.20386429642	0.08348527244
a46	0.36808545008	0.05658940012	0.24182984491	0.14356301452	0.15412552036	0.03580679074
a31	0.25236548068	0.1441893072	0.2203856328	0.1645289632	0.1218950328	0.0966355814
a20	0.1283538599	0.11723266728	0.2911362968	0.2026144692	0.12733814962	0.133324557512
a46	0.279327248	0.1225878036	0.2116537398	0.177743771	0.0547644578	0.1539229768
a31	0.14721583898	0.1916484002	0.266597202	0.1488534328	0.0752584079	0.17042669308
a8	0.1717545052	0.06541475768	0.2498381892	0.149024094	0.16165046426	0.20231799736
a31	0.212578536	0.1867375272	0.2278985562	0.1301163316	0.0684510252	0.1742180189
</S>	0.1850151436	0.06942326312	0.2411381602	0.1376566204	0.16896298952	0.197803837672
