 	non	ho	cosa	a	fare	</S>
a8	0.12971479588	0.2175135576	0.103953988	0.1715970548	0.1900202802	0.1872003442
a31	0.116597600676	0.21383333792	0.276579494	0.1423282486	0.21041038294	0.040250934694
a37	0.0854994646026	0.20553122252	0.29158284616	0.080800866	0.2989292454	0.0376563117156
a11	0.022942506224	0.080868691194	0.127136342	0.1115159642	0.492667096	0.164869412604
a13	0.0862287735	0.1226940702	0.1869019666	0.1682704902	0.2483730084	0.18753168546
a20	0.1011908554	0.1565829216	0.1825423387	0.1566269038	0.3010739288	0.101983066832
a31	0.190802502	0.2246857394	0.172750558	0.1241797678	0.2158447916	0.07173669462
a8	0.05836801354	0.2514358152	0.0592488642	0.1437878528	0.41277629	0.0743831456
a31	0.08683545324	0.1773280748	0.1433483829	0.167688944	0.347682496	0.0771166294
a46	0.0892453146	0.188498268	0.1097936456	0.181048034	0.263965208	0.16744952
a8	0.07673463388	0.1233503468	0.17543921362	0.154652418	0.328014136	0.141809276
</S>	0.08088501232	0.1715670084	0.13254243052	0.162320452	0.3209257156	0.1317593854
