 	non	so	cosa	scrive	</S>
a46	0.07764644386	0.29544032339	0.02119844674	0.36191103912	0.2438037418
a8	0.065546236528	0.091463626672	0.420037459406	0.184790153206	0.23816253598
a31	0.08598862006	0.17435348144	0.198715584698	0.454085900669	0.0868563845394
a13	0.20841678	0.25320831218	0.157085801758	0.310873698744	0.070415389368
a31	0.0888904803	0.21571993114	0.22470288026	0.38366760116	0.08701910436
a28	0.1234623306	0.23805695464	0.225386126482	0.272937614193	0.1401569747
a31	0.123879678	0.1471687252	0.26548497834	0.30555859413	0.1579080296
a37	0.1791660554	0.18830846544	0.16697304888	0.28261381016	0.1829386398
a31	0.05135926314	0.20685759244	0.26943172724	0.281517812	0.19083363254
a11	0.219306124	0.1501865476	0.18189294324	0.26685137	0.181763023
a31	0.1299721906	0.1080350076	0.1677255654	0.387552444	0.206714774
a20	0.2544083568	0.1259180474	0.168117873	0.22838746	0.223168289
a31	0.1427453066	0.0821980414	0.12829776784	0.401977342	0.244781558
</S>	0.2622723992	0.1144687094	0.173137181	0.221881722	0.2282399868
