 	che	non	li	aspetiamo	</S>
a20	0.3219957558	0.089995909728	0.11075894748	0.20150517294	0.275744183
a8	0.313226824	0.03129684372	0.211595161794	0.425296882538	0.018584296112
a7	0.150115149	0.18004366744	0.02865945483	0.45279461688	0.18838710116
a35	0.12178172534	0.08396494074	0.22900560014	0.4771305915	0.0881171244
a46	0.38242092092	0.0584281123	0.210076020212	0.26423574542	0.0848391939
a31	0.4045427594	0.15197642608	0.08756311988	0.229347185196	0.1265705154
a11	0.399046019	0.1649505368	0.08457440234	0.21449651134	0.1369325284
a31	0.2995693188	0.20274149588	0.11580712178	0.22599663276	0.1558854356
a0	0.315631608	0.17131272592	0.08042852046	0.2434718534	0.18915525406
a31	0.1669598304	0.1465674426	0.12368336176	0.3274292954	0.2353600812
a30	0.1030123042	0.107771958	0.1291259314	0.2683469308	0.391742888
a0	0.11656834312	0.1045482962	0.0765250207	0.421299226	0.281059112
a31	0.139856342	0.1192549256	0.0853985722	0.353059592	0.30243059
</S>	0.1090751072	0.126723636	0.1131486492	0.270508845	0.380543764
