 	non	aveva	cosa	a	fare	</S>
a31	0.10558583946	0.2840793822	0.1882892176	0.1568540904	0.1495525576	0.11563890172
a18	0.221994493784	0.31523839266	0.25078502368	0.0617129776	0.0448321074	0.1054370457
a24	0.093982873974	0.15497275778	0.19223997652	0.11426563712	0.371619762	0.07291901832
a20	0.06833388796	0.1383490494	0.23865883032	0.1019278736	0.348001826	0.1047285108
a31	0.1874429924	0.2665147016	0.18132069072	0.0332189676	0.231122856148	0.100379766076
a18	0.26636742116	0.1779647222	0.13049170902	0.10043486288	0.16950174898	0.155239558673
a31	0.19752029286	0.2552249818	0.1351848617	0.1217982382	0.127420456	0.16285117404
a17	0.1697282114	0.2217352014	0.0517777064	0.129539454	0.19732791	0.229891514
a20	0.13926119346	0.196359736	0.15233179356	0.144621492	0.1963532572	0.171072513
a31	0.15436170614	0.205918288	0.08141804952	0.1370364682	0.246400966	0.1748645366
</S>	0.1586309934	0.185500452	0.0624928592	0.110518208	0.137995674	0.344861804
