 	dei	genitori	</S>
a31	0.25533411106	0.3584224006	0.38624349456
a20	0.518562533023	0.1859813742	0.2954561018
a31	0.229368077515	0.48747800948	0.28315389574
a18	0.594803993263	0.3034904772	0.1017055361
a24	0.33583949304	0.2795208333	0.3846396408
a28	0.21677022428	0.2870695588	0.496160195
a31	0.30694842568	0.11547807194	0.5775734764
a20	0.4946190992	0.1442146496	0.36116628
a31	0.513635724	0.176616522	0.3097477512
a20	0.453151946	0.224128137	0.322719913
a39	0.482284894	0.24526286	0.27245224
a46	0.54970115	0.217976886	0.232321959
</S>	0.52694264	0.217925586	0.25513178
