 	le	ragazze	vogliono	guardate	</S>
a10	0.2417596364	0.2459947198	0.1309857014	0.1373242368	0.24393565812
a20	0.127007003634	0.587213793	0.0159517528	0.072240480514	0.19758696136
a31	0.31688116938	0.3246379112	0.0396368578	0.16263763894	0.156206459304
a20	0.23357848656	0.4788020586	0.05114759262	0.155185599996	0.0812862477579
a11	0.2439547262	0.3709359128	0.01428473462	0.209231118916	0.161593557358
a31	0.3354676675	0.1300341667	0.0827995606	0.27288340934	0.17881518226
a0	0.25862982528	0.394177845	0.0726499118	0.1965897178	0.07795270474
a31	0.2754568091	0.13868051666	0.1806649706	0.20169234	0.2035053344
a39	0.2281874218	0.3665683	0.1662264268	0.1335571056	0.1054607228
a18	0.21226402652	0.221597559	0.1786940126	0.1693532644	0.218091142
a31	0.177362413	0.26162202	0.1558371362	0.1211976616	0.2839807728
a8	0.1713105748	0.271454812	0.1199183008	0.1467953586	0.2905209348
a31	0.1793299486	0.1625476994	0.2603935988	0.1446277356	0.253101014
a46	0.157144272	0.259402198	0.1430697984	0.153370594	0.2870131646
a18	0.1552043354	0.1850086408	0.251194027	0.173278945	0.235314042
a35	0.1737594256	0.283671394	0.1672542512	0.124710788	0.2506041504
a31	0.1317964382	0.314963088	0.181593414	0.128912707	0.2427343718
a39	0.1781909206	0.262344973	0.199139364	0.1392240686	0.2211006868
a8	0.1425601533	0.3373805692	0.165608168	0.131613344	0.2228377594
a23	0.1858703238	0.333793288	0.162844425	0.1156791488	0.201812802
</S>	0.190198503	0.35284539	0.176252954	0.1089565852	0.1717465444
