 	ho	cosa	a	fare	</S>
a23	0.268781106	0.19431325772	0.124493588	0.251374069	0.16103796606
a17	0.24895631912	0.26665241902	0.20976001552	0.2408545292	0.0337766876
a31	0.25914401654	0.23477003072	0.1568402004	0.317719116	0.03152664138
a8	0.20163708369	0.10182776994	0.13853714674	0.5134543412	0.0445436712014
a31	0.2527712818	0.13350777796	0.192006748	0.3120563564	0.109657870686
a13	0.3807293954	0.09383730566	0.1579107576	0.1607441456	0.206778374552
a24	0.3155932894	0.13446065624	0.124169553	0.248948324	0.1768282096
a31	0.335935238	0.21346846496	0.0777979874	0.2360542772	0.1367439966
a13	0.4343262092	0.180225120092	0.0916385098	0.1854588	0.1083513472
a31	0.2447409014	0.12811534564	0.1706410018	0.26118374	0.195318982
a18	0.266715856	0.1557545721	0.203266002	0.13860107	0.23566253
a0	0.1739119986	0.20042234672	0.177864398	0.258969448	0.1888318574
a39	0.2011872218	0.18602174304	0.137202186	0.306334306	0.169254537
</S>	0.2445251954	0.1617708359	0.134610366	0.304643334	0.1544502634
