 	essendosi	vestito	</S>
a46	0.4456222468	0.329284793	0.2250929518
a31	0.09307156852	0.5573067092	0.3496217208
a18	0.156825839	0.5581694362	0.285004729864
a31	0.04085340249	0.574664398	0.3844822016
a20	0.024359239024	0.628634924	0.347005824
a46	0.0185919412686	0.701495146	0.2799129316
a20	0.026735855212	0.6087263006	0.36453783
a31	0.10633550942	0.4576107232	0.436053758
a0	0.38811507074	0.4274944318	0.1843905188
a46	0.33186482868	0.5011515968	0.1669835854
a35	0.39724363232	0.4505059892	0.152250385
a46	0.3838433378	0.473599284	0.142557376
a24	0.39395537152	0.42299302	0.183051618
a46	0.3377614007	0.39460251	0.267636082
a24	0.368415098	0.365883614	0.265701316
a31	0.3052325974	0.397160396	0.2976069848
</S>	0.2348823052	0.44381123	0.321306443
