 	viene	fabbricato	</S>
a31	0.377717648	0.190973653128	0.4313086966
a24	0.653548086	0.17558100245	0.17087089884
a31	0.610271728	0.22724698286	0.16248128344
a18	0.671306792	0.19179891404	0.13689426444
a31	0.4518970134	0.2779293974	0.27017356544
a37	0.540610572	0.25281468726	0.2065747286
a31	0.4705239776	0.29287327196	0.2366027586
a20	0.3148144038	0.366892234	0.3182933548
a41	0.5063612736	0.3354755422	0.1581631532
a31	0.3633854276	0.474332924	0.1622816422
a35	0.348495878	0.367488232	0.2840158976
</S>	0.3259974548	0.471204426	0.202798127
