 	non	aveva	da	stare	</S>
a37	0.17606675046	0.2014453364	0.12279882946	0.45232459114	0.0473644888
a38	0.08611892286	0.1058073206	0.2251267549	0.42918874892	0.153758283581
a24	0.0334832982	0.107372094972	0.252549492982	0.5636395656	0.0429555377459
a8	0.018377456204	0.083428686606	0.100367711206	0.693528314	0.10429783268
a17	0.1315650274	0.22378362964	0.058656333866	0.4231572042	0.1628377801
a31	0.20269098184	0.21187013034	0.051240973	0.26809459008	0.2661033215
a20	0.04668569052	0.14963257084	0.08040029722	0.512041992	0.21123945048
a8	0.095774746	0.1913268414	0.0881126374	0.503085534	0.1217002472
a31	0.05726280954	0.199821627	0.0735792108	0.422642252	0.246694106
a20	0.0404767732	0.120732755	0.086710927732	0.580822554	0.1712569922
a31	0.10173521504	0.2043571148	0.12533509642	0.315311856	0.2532607138
a8	0.1279409562	0.139202562	0.13849115256	0.285768578	0.308596743
a31	0.15081103844	0.168373894	0.09958308428	0.2946860828	0.2865458998
</S>	0.1416408234	0.137670383	0.13480989208	0.314105532	0.2717733606
