 	e	che	cucino	</S>
a31	0.358529302	0.217319617	0.1823837136	0.24176735596
a24	0.466593476288	0.19878177874	0.22747730335	0.10714746082
a31	0.38021523627	0.2248251188	0.2964631904	0.0984964773772
a11	0.52775994654	0.1982887446	0.141842453028	0.13210885324
a46	0.27544301754	0.2254299935	0.35622096016	0.1429060198
a41	0.447053641	0.1373133214	0.31136153366	0.1042715114
a20	0.488041498	0.312297631	0.16778934754	0.031871483692
a36	0.45020958	0.284402662	0.2039310668	0.061456671124
a31	0.319779702	0.353858678	0.228085286	0.0982763278
a46	0.2033702368	0.186036552	0.38065301	0.229940188
</S>	0.1721004968	0.267408505	0.2783801828	0.282110801
