 	è	che	stanno	ancora	svegli	</S>
a31	0.24002274956	0.1759847696	0.1523788384	0.0691911778	0.15776523246	0.204657222
a11	0.141259230984	0.216298286379	0.138822270612	0.12082775946	0.304942703346	0.077849731366
a7	0.160888554064	0.0297475328848	0.111974492596	0.26870071768	0.25648150806	0.17220718397
a24	0.175556433488	0.03957320024	0.1560809328	0.2335667258	0.32256636128	0.0726563215
a31	0.09321169604	0.18756955258	0.08162917666	0.256633146	0.26114486006	0.1198115484
a20	0.10794811852	0.2014806122	0.13411512328	0.2228027946	0.2399632238	0.09369012334
a31	0.095700373236	0.066091264576	0.0850234416	0.280061909	0.223267312	0.2498557131
a46	0.22252684854	0.10741910404	0.1490272594	0.2172824376	0.174085414	0.1296589074
a41	0.094176113368	0.03568404094	0.1080222578	0.225962868	0.285128576	0.251026122
a31	0.1012423368	0.0665884174	0.117019498	0.175994214	0.213744022	0.325411484
a33	0.10157764214	0.0723681611	0.1742826864	0.1259055878	0.16701991	0.3588460288
a31	0.07104897486	0.0612045436	0.2131414656	0.1309507168	0.256244354	0.26740995
a0	0.1587153026	0.15153221846	0.1760244786	0.112028119	0.1701403992	0.2315594934
a31	0.0899361908	0.09807527146	0.182775229	0.123816868	0.2778833212	0.227513134
a20	0.1978439554	0.1668455336	0.176528248	0.1135248834	0.172601954	0.172655411
a28	0.1183627388	0.14612894132	0.1205387018	0.116154943	0.2669506252	0.231864052
a11	0.1710123352	0.17913378114	0.115127576	0.1235620928	0.239053135	0.1721110918
</S>	0.1248835947	0.1584663438	0.125545322	0.132004466	0.24033606	0.218764238
