 	non	sono	ancora	vestita	</S>
a31	0.2781002366	0.134459934	0.146609065	0.232940951756	0.20788978048
a23	0.0435402537892	0.0257715742642	0.412521856226	0.340091777172	0.178074526085
a31	0.211202244932	0.020598272028	0.2698807248	0.39285101596	0.105467734594
a7	0.215298197112	0.02293801504	0.25934354028	0.452401043732	0.050019214518
a31	0.1172757643	0.01243613688	0.3730077128	0.36050615314	0.136774227976
a13	0.20975786708	0.13577280508	0.2320052472	0.3277254196	0.09473863318
a31	0.13893283192	0.0678238011	0.421260679	0.1981848724	0.1737978174
a37	0.0637754032	0.09268700256	0.430909574	0.2500385808	0.1625894594
a18	0.11648587632	0.06485723818	0.3760027188	0.209226206	0.2334279678
a31	0.11974774366	0.0977207774	0.255472432	0.2191106172	0.307948422
a46	0.1083183034	0.1081052778	0.155900112	0.247897642	0.37977867
a8	0.1018552051	0.0898549697	0.20483757	0.2499349764	0.35351731
</S>	0.1284336586	0.1445104314	0.20664453	0.2497212372	0.270690138
