 	Marika	tu	hai	mangiato	</S>
a8	0.1554462122	0.15605949012	0.2136191742	0.2956895072	0.17918563242
a31	0.293802774053	0.081718394	0.4257024074	0.131884016	0.0668923949
a24	0.404116857294	0.201383617784	0.1513274444	0.22402567856	0.0191463944774
a31	0.2985763067	0.16923584983	0.2946956182	0.21020428916	0.027287922852
a28	0.3244969976	0.13606153114	0.3472650817	0.1163532184	0.07582322506
a31	0.20402712416	0.1269222624	0.2867990818	0.2431608148	0.139090708
a3	0.305285884	0.134805726	0.2244682294	0.10652352	0.22891663938
a18	0.2282442356	0.113373042	0.2818373856	0.21920744906	0.1573378772
a31	0.1798029368	0.1347154704	0.3726626388	0.203193152	0.10962575832
a23	0.0565705602	0.15564228	0.339222242	0.2142102433	0.23435467499
a31	0.1314500352	0.197457746	0.413948482	0.1327700298	0.1243737312
a20	0.0773688098	0.1468544204	0.340830916	0.1682063744	0.26673950028
</S>	0.1209070604	0.212451242	0.2698463648	0.18193966	0.2148556696
